id,aliasname,address,sap_id,created_at,updated_at
2587,"NSW India Ltd.",,465,"2017-10-03 06:58:03","2018-05-08 10:50:04"
2588,"Najath Trading",,1202,"2017-10-07 06:59:32","2018-05-08 10:53:19"
2589,"Nova Technocast",,1285,"1970-01-01 00:00:00","2018-05-08 10:53:40"
2590,"Nupros Engineering",,543,"2017-07-17 12:42:06","2018-05-08 10:50:26"
2591,"Nuvision Instrumentation",,555,"2017-07-17 12:42:06","2018-05-08 10:50:29"
2592,"Nalco Water India",,1073,"2017-11-21 05:09:11","2018-05-08 10:52:50"
2593,"Netsol Water Soln",,219,"2018-03-19 04:59:06","2018-05-08 10:48:59"
2594,"NXP India Pvt. Ltd.",,1117,"2017-11-16 09:03:49","2018-05-08 10:53:01"
2595,"OAG Group",,829,"2017-12-06 09:56:05","2018-05-08 10:51:47"
2596,"Orbit Bearings",,,"2017-09-22 06:21:38","2018-05-08 10:48:36"
2597,"Oblum Electrical",,569,"2017-07-17 12:42:06","2018-05-08 10:50:33"
2598,"Owens Corning India",,659,"2017-10-24 10:15:31","2018-05-08 10:50:58"
2599,"Ojas Enterprises",,238,"2018-03-19 05:46:55","2018-05-08 10:49:02"
2600,"Omnikart Engineering",,493,"2017-09-25 10:58:39","2018-05-08 10:50:12"
2601,"Offshore Infra",,403,"2017-09-18 06:45:36","2018-05-08 10:49:47"
2602,"Orlov Greentech",,782,"2017-08-23 09:04:00","2018-05-08 10:51:32"
2603,"Overseas Infra",,749,"2017-11-20 09:54:08","2018-05-08 10:51:22"
2604,"Om irritech Ltd.",,687,"2017-09-18 10:24:28","2018-05-08 10:51:05"
2605,"Oil States Industry",,648,"2017-07-17 12:42:06","2018-05-08 10:50:55"
2606,"Okay Industries",,1452,"2017-11-17 10:31:26","2018-05-08 10:58:59"
2607,"Olam Agro India",,707,"2017-11-14 04:46:57","2018-05-08 10:51:11"
2608,"Olympia Industries",,905,"2017-09-26 05:21:23","2018-05-08 10:52:11"
2609,"Om Hardware",,453,"2017-10-16 12:48:52","2018-05-08 10:50:02"
2610,"Om Metals Infra",,217,"2017-09-28 10:51:46","2018-05-08 10:48:58"
2611,"Onkar Infotech",,329,"2017-11-18 09:20:08","2018-05-08 10:49:27"
2612,"Ozone Overseas",,1276,"2018-02-09 05:34:15","2018-05-08 10:53:37"
2613,"Orchev Pharma",,526,"2017-11-27 06:40:57","2018-05-08 10:50:21"
2614,"Orbit Industries",,421,"2017-11-24 12:35:47","2018-05-08 10:49:51"
2615,"Orient Elec.",,554,"2017-09-12 07:01:52","2018-05-08 10:50:29"
2616,"Oriental Rubber",,,"2017-09-16 09:19:44","2018-05-08 10:48:32"
2617,"Oscon Vac-Tech",,926,"2017-12-11 07:01:24","2018-05-08 10:52:15"
2618,"Optimized Solutions",,1039,"2017-10-05 12:55:02","2018-05-08 10:52:43"
2619,"Ovn Trading",,1115,"2017-10-25 07:34:39","2018-05-08 10:52:59"
2620,"P. M. Diesels",,357,"2017-11-18 09:30:14","2018-05-08 10:49:34"
2621,"P2 Power Solutions",,641,"2017-08-21 07:52:09","2018-05-08 10:50:53"
2622,"Packwell Gaskets",,250,"2017-11-01 10:04:05","2018-05-08 10:49:07"
2623,"Palm Grove Beach Hotel",,660,"2017-07-17 12:42:06","2018-05-08 10:50:58"
2624,"Panacea Biotec",,414,"2017-08-04 10:23:02","2018-05-08 10:49:55"
2625,"Panchal Mfg.",,295,"2017-09-08 08:59:50","2018-05-08 10:49:18"
2626,"Pune Air Products",,1167,"2017-09-16 05:42:29","2018-05-08 10:53:11"
2627,"Parabia Transport",,388,"2017-08-01 13:17:35","2018-05-08 10:49:42"
2628,"Param Dairy",,737,"2017-11-20 09:51:37","2018-05-08 10:51:19"
2629,"Parveen Industries",,675,"2017-07-17 12:42:06","2018-05-08 10:51:03"
2630,"Pashupatinath Ent.",,692,"2017-07-17 12:42:06","2018-05-08 10:51:06"
2631,"Paramount Cables",,1438,"2017-10-25 11:29:35","2018-05-08 10:58:10"
2632,"PC Sons Castings",,1063,"2017-09-26 05:56:10","2018-05-08 10:52:48"
2633,"Paras Colours Pig.",,1317,"2017-11-16 10:59:44","2018-05-08 10:53:50"
2634,"Prashant Castings",,420,"2017-10-03 06:42:39","2018-05-08 10:49:50"
2635,"Pranav Construction",,786,"2018-01-24 11:33:33","2018-05-08 10:51:32"
2636,"Projects-Dev India",,510,"2017-09-18 07:30:57","2018-05-08 10:50:16"
2637,"Poultry Diagnostic",,1007,"2017-11-20 12:48:35","2018-05-08 10:52:33"
2638,"Pragati Enterprises",,142,"2017-09-16 09:09:03","2018-05-08 10:48:29"
2639,"Pearl Furniture",,266,"2017-09-28 11:28:08","2018-05-08 10:49:10"
2640,"Pee Empro Exports",,424,"2017-09-12 05:17:49","2018-05-08 10:49:51"
2641,"Pentair Water India",,703,"2017-07-17 12:42:06","2018-05-08 10:51:09"
2642,"Prakash Engitech",,140,"2017-10-10 07:18:35","2018-05-08 10:48:28"
2643,"Poonam Equipment",,404,"2017-10-03 06:39:32","2018-05-08 10:49:48"
