inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
11181,,2002685,BM9J7F9,,60,01-Jan-18,,,,,,,,,
12432,,2002812,BM0C8S9,,1,01-Jan-18,,,,,,,,,
12432,,2002812,BM9J6V9,,1,01-Jan-18,,,,,,,,,
12432,,2002812,BM9J8L4,,3,01-Jan-18,,,,,,,,,
12432,,2002812,BM9J8L5,,1,01-Jan-18,,,,,,,,,
12441,,2002008,BM9J8H3,,6840,01-Jan-18,,,,,,,,,
12441,,2002008,BM9J8H4,,3958,01-Jan-18,,,,,,,,,
12441,,2002008,BM9J8H6,,22392,01-Jan-18,,,,,,,,,
13345,,2003027,BM9C4L6,,1,01-Jan-18,,,,,,,,,
13345,,2003027,BM9K1W6,,1,01-Jan-18,,,,,,,,,
13345,,2003027,BM9K1W7,,1,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3B4,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3B5,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3B6,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3C2,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3C6,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3D5,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3D6,,3,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3D7,,1,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3D8,,250,01-Jan-18,,,,,,,,,
13516,,2002437,BM9K3D9,,250,01-Jan-18,,,,,,,,,
13588,,2001726,BM9G8E7,,1,01-Jan-18,,,,,,,,,
13764,,2001765,BM0C7U8,,1,01-Jan-18,,,,,,,,,
13833,,2002551,BM9K6Q5,,1,01-Jan-18,,,,,,,,,
14068,,2002480,BM0A6A4,,2,01-Jan-18,,,,,,,,,
14320,,2003237,BM9K6T6,,2,01-Jan-18,,,,,,,,,
14410,,2002623,BM9K7P8,,1,01-Jan-18,,,,,,,,,
14410,,2002623,BM9K7P9,,1,01-Jan-18,,,,,,,,,
14410,,2002623,BM9K7Q1,,1,01-Jan-18,,,,,,,,,
14410,,2002623,BM9K7Q2,,1,01-Jan-18,,,,,,,,,
14410,,2002623,BM9K7Q3,,1,01-Jan-18,,,,,,,,,
14435,,10400020,BM9K8Q4,,1,01-Jan-18,,,,,,,,,
14474,,2002587,BM9K7T4,,1,01-Jan-18,,,,,,,,,
14474,,2002587,BM9K7T5,,1,01-Jan-18,,,,,,,,,
14474,,2002587,BM9K7T6,,1,01-Jan-18,,,,,,,,,
14474,,2002587,BM9K7T7,,1,01-Jan-18,,,,,,,,,
14480,,2002633,BM9D2K4,,10,01-Jan-18,,,,,,,,,
14540,,2002435,BM0O4C8,,210,01-Jan-18,,,,,,,,,
14540,,2002435,BM9B6V7,,200,01-Jan-18,,,,,,,,,
14540,,2002435,BM9E8D2,,180,01-Jan-18,,,,,,,,,
14540,,2002435,BM9F1S6,,200,01-Jan-18,,,,,,,,,
14540,,210200087,BM9F1S6,,50,01-Jan-18,,,,,,,,,
14709,,2002485,BM9K8W1,,4,01-Jan-18,,,,,,,,,
14841,,2002845,BM9K9H9,,2,01-Jan-18,,,,,,,,,
14892,,2002605,BM9L1S4,,4,01-Jan-18,,,,,,,,,
14892,,2002605,BM9L1S5,,1,01-Jan-18,,,,,,,,,
14892,,2002605,BM9L1S6,,1,01-Jan-18,,,,,,,,,
14981,,2002968,BM9L9H8,,3,01-Jan-18,,,,,,,,,
14981,,2002968,BM9L9S6,,807,01-Jan-18,,,,,,,,,
14981,,2002968,BM9L9S7,,901,01-Jan-18,,,,,,,,,
14983,,2002966,BM9L3E9,,30,01-Jan-18,,,,,,,,,
14983,,2002966,BM9L3F2,,15,01-Jan-18,,,,,,,,,
14983,,2002966,BM9L3F3,,15,01-Jan-18,,,,,,,,,
14983,,2002966,BM9L9T7,,10,01-Jan-18,,,,,,,,,
15034,,2002641,BM9L3B6,,2,01-Jan-18,,,,,,,,,
15034,,2002641,BM9L3B7,,1,01-Jan-18,,,,,,,,,
15034,,2002641,BM9L5S7,,1,01-Jan-18,,,,,,,,,
15040,,2003229,BM9A9X9,,1,01-Jan-18,,,,,,,,,
15040,,2003229,BM9L4H7,,3,01-Jan-18,,,,,,,,,
15040,,2003229,BM9L4J1,,5,01-Jan-18,,,,,,,,,
15040,,99999061,BM9L4J2,,3,01-Jan-18,,,,,,,,,
15048,,2002697,BM9L4B7,,1,01-Jan-18,,,,,,,,,
15120,,2002532,BM9D9A7,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9J7K8,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9J7K9,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9J7L3,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2V9,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W1,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W2,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W3,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W4,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W5,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W6,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W7,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W8,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2W9,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X1,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X2,,20,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X3,,20,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X4,,5,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X5,,10,01-Jan-18,,,,,,,,,
15120,,2002532,BM9L2X6,,1,01-Jan-18,,,,,,,,,
15366,,99999034,BM3X4Y9,,100,01-Jan-18,,,,,,,,,
15366,,210200104,BM3X5A6,,1,01-Jan-18,,,,,,,,,
15366,,2002517,BM3X5A6,,1,01-Jan-18,,,,,,,,,
15366,,2002517,BM3X5A7,,1,01-Jan-18,,,,,,,,,
15366,,2002517,BM3X5A8,,1,01-Jan-18,,,,,,,,,
15366,,2002517,BM3X5A9,,1,01-Jan-18,,,,,,,,,
15366,,2002517,BM9G8N5,,200,01-Jan-18,,,,,,,,,
15366,,2002517,BM9G8N5,,50,01-Jan-18,,,,,,,,,
15415,,2002438,BM4H8P3,,500,01-Jan-18,,,,,,,,,
15416,,2002698,BM9L4U3,,2,01-Jan-18,,,,,,,,,
15517,,2002476,BM1G0R0,,240,01-Jan-18,,,,,,,,,
15564,,2002494,BM9B6Q2,,7,01-Jan-18,,,,,,,,,
15608,,2003401,BM9L4V5,,3,01-Jan-18,,,,,,,,,
15608,,2003401,BM9M6L8,,3,01-Jan-18,,,,,,,,,
15666,,2003144,BM9L4V4,,10,01-Jan-18,,,,,,,,,
15666,,2003144,BM9L5C5,,10,01-Jan-18,,,,,,,,,
15743,,2002821,BM9L5X6,,2,01-Jan-18,,,,,,,,,
15743,,2002821,BM9L5X7,,2,01-Jan-18,,,,,,,,,
15749,,2002772,BM9L5U1,,1,01-Jan-18,,,,,,,,,
15813,,2002806,BM9L5U4,,4,01-Jan-18,,,,,,,,,
15849,,2002826,BM9K7M4,,1,01-Jan-18,,,,,,,,,
15860,,2002707,BM9L5X3,,6,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2C5,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2C6,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2C7,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2C8,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2C9,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2D1,,2,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2D2,,10,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2D6,,2,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2D8,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2D9,,1,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E1,,8,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E4,,2,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E5,,2,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E7,,5,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E8,,5,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2E9,,6,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2F1,,2,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2F2,,12,01-Jan-18,,,,,,,,,
15895,,2003385,BM9M2F3,,2,01-Jan-18,,,,,,,,,
