address_uid,company_uid
1421,74
1421,74
140,SC-01774
140,SC-01774
A16469,SC-207565
A16469,SC-207565
9536,SC-8977
9536,SC-8977
5220,1556
5220,1556
9803,SC-9194
9803,SC-9194
8343,SC-01774
8343,SC-01774
A207157,SC-207879
A207157,SC-207879
9276,SC-8732
9276,SC-8732
9804,SC-9194
9804,SC-9194
6521,201770
6521,201770
9012,SC-8471
9012,SC-8471
1343,207737
1343,207737
A208529,207737
A208529,207737
8564,SC-01774
8564,SC-01774
A208530,207737
A208530,207737
3458,1096
3458,1096
9368,SC-8815
9368,SC-8815
4989,1522
4989,1522
2106,526
2106,526
4355,1096
4355,1096
9013,SC-8472
9013,SC-8472
8973,SC-8437
8973,SC-8437
8974,SC-8437
8974,SC-8437
1893,SC-00476
1893,SC-00476
9010,SC-8469
9010,SC-8469
A208552,SC-208140
A208552,SC-208140
A208568,SC-208142
A208568,SC-208142
1730,175
1730,175
A207646,SC-207972
A207646,SC-207972
5663,1677
5663,1677
5668,1677
5668,1677
9903,SC-9270
9903,SC-9270
731,SC-01269
731,SC-01269
5644,685
5644,685
9017,SC-8476
9017,SC-8476
8998,SC-8459
8998,SC-8459
9904,SC-9271
9904,SC-9271
9615,SC-9040
9615,SC-9040
9905,SC-9272
9905,SC-9272
9008,SC-8468
9008,SC-8468
9034,SC-8489
9034,SC-8489
5534,1586
5534,1586
A208115,SC-208081
A208115,SC-208081
5679,1586
5679,1586
6331,1787
6331,1787
6677,1586
6677,1586
860,SC-02129
860,SC-02129
A208116,SC-208082
A208116,SC-208082
9788,SC-9183
9788,SC-9183
A207262,SC-207894
A207262,SC-207894
6678,1961
6678,1961
A208117,SC-208083
A208117,SC-208083
A208118,SC-208084
A208118,SC-208084
3802,SC-7018
3802,SC-7018
9222,SC-7018
9222,SC-7018
1731,175
1731,175
6237,1732
6237,1732
443,SC-01630
443,SC-01630
A208120,662
A208120,662
A208122,SC-208086
A208122,SC-208086
A206574,SC-9290
A206574,SC-9290
1732,175
1732,175
2503,SC-01317
A207803,SC-01251
2495,SC-01303
2495,SC-01303
9009,SC-01303
9009,SC-01303
A210100,SC-208430
A207533,SC-207951
6567,1909
6567,1909
2503,SC-01317
A208123,SC-01317
9487,SC-8919
9487,SC-8919
A208123,SC-01317
A206666,SC-207676
5653,1670
5653,1670
A206739,SC-207695
A206739,SC-207695
9142,SC-8600
9142,SC-8600
9498,SC-8932
9498,SC-8932
9258,SC-8718
9258,SC-8718
9143,SC-8601
9143,SC-8601
A206666,SC-207676
1624,149
A207533,SC-207951
2654,SC-01522
1624,149
1625,149
1625,149
1626,149
9571,SC-9007
9571,SC-9007
A207803,SC-01251
1338,SC-03396
8736,SC-8224
8736,SC-8224
9049,SC-8224
9049,SC-8224
466,SC-01490
466,SC-01490
9054,SC-8510
9054,SC-8510
4406,1132
4406,1132
1626,149
1627,149
9002,SC-8463
9002,SC-8463
1627,149
5088,149
9331,SC-8784
9331,SC-8784
9332,SC-8784
9332,SC-8784
9925,SC-9286
9925,SC-9286
5088,149
9687,SC-9102
8530,SC-7869
8530,SC-7869
441,SC-01238
441,SC-01238
9039,SC-8494
9039,SC-8494
8537,SC-7869
8537,SC-7869
9687,SC-9102
A206740,SC-9102
5120,1132
5120,1132
5133,1132
5133,1132
9083,SC-8539
9083,SC-8539
2020,344
2020,344
6247,1734
6247,1734
A206756,SC-02129
A206756,SC-02129
A206740,SC-9102
A207554,SC-207953
A207554,SC-207953
1338,SC-03396
6618,1928
6618,1928
A207795,SC-03396
A207795,SC-03396
A207856,SC-208010
A207856,SC-208010
863,SC-02130
863,SC-02130
A207859,SC-208011
A207859,SC-208011
A207860,SC-208011
A207860,SC-208011
9616,SC-9041
9616,SC-9041
9108,SC-8567
9108,SC-8567
9070,SC-8525
9070,SC-8525
1120,SC-02512
1120,SC-02512
9069,SC-8524
9069,SC-8524
1733,175
1733,175
1734,175
1734,175
1735,175
1735,175
4636,1457
4636,1457
A209483,SC-208297
A209483,SC-208297
A209155,SC-207730
A209155,SC-207730
A208140,SC-208087
A208140,SC-208087
9545,SC-8982
9545,SC-8982
1736,175
1736,175
A207861,SC-208012
A207861,SC-208012
1737,175
1737,175
9709,SC-9119
9709,SC-9119
9322,SC-8776
9322,SC-8776
1644,155
1644,155
6359,1800
