inquiry_no,alias,order_number,report_total,mis_date
20674,Beckman Coulter,10210518,39132,7-Jul-2018
20680,GE,10210338,390000,6-Jun-2018
20683,ZF India,10210621,39045.56,25-Jul-2018
20685,Husco,10210299,2750,1-Jun-2018
20706,Hyosung,10210280,19500,30-May-2018
20707,Stanley Engineered,10210326,34222.38,5-Jun-2018
20708,Cummins,10210349,43286,8-Jun-2018
20712,Henkel,10210283,33743,30-May-2018
20714,Johnson Matthey Chem. India,10210310,66818,1-Jun-2018
20716,Stanley Engineered,10210533,6342,12-Jul-2018
20717,Vako Seals,10210291,4200,31-May-2018
20720,GE,10610104,226400,5-Jun-2018
20721,Stanley Engineered,10210325,7506,5-Jun-2018
20722,GE Power Systems,10610172,353932.02,25-Jun-2018
20734,Duroshox,10210363,4650,11-Jun-2018
20736,SSI,10210473,18694,3-Jul-2018
20737,Graziano,10910056,71000,19-Jul-2018
20745,Henkel,10210365,4886,11-Jun-2018
20753,Cummins,10210440,5000,25-Jun-2018
20755,GE,10610202,754655,1-Jun-2018
20758,Piramal,10210281,7576.5,30-May-2018
20763,Piramal,11210013,304990,1-Jun-2018
20766,Henkel,10210451,114719,25-Jun-2018
20779,IR,10610097,7500,30-May-2018
20783,Cummins,10210437,6520,25-Jun-2018
20784,Piramal,10210330,31730,5-Jun-2018
20785,IR,10610098,18713,30-May-2018
20786,IR,10610106,38640,1-Jun-2018
20787,SSI,10210517,12631.5,9-Jul-2018
20792,GE,10610102,627020,1-Jun-2018
20799,IR,10610210,28000,11-Jul-2018
20807,Henkel,10210359,500,4-Jun-2018
20811,Piramal,11210011,5079.3,31-May-2018
20813,GE,10210351,1311974,8-Jun-2018
20823,GE Power Systems,10610295,41192,16-Aug-2018
20826,South West Pinnacle,10210322,15000,4-Jun-2018
20827,Husco,10210379,3215,12-Jun-2018
20828,Henkel,10910030,1482621,11-Jun-2018
20830,DS Namah,10910025,222000,4-Jun-2018
20831,Cummins,10210431,28000,21-Jun-2018
20836,Cummins,10210864,430095.2,4-Sep-2018
20838,Henkel,10210341,8022.5,7-Jun-2018
20839,JSE,10210306,4277728,1-Jun-2018
20840,Cummins,10210879,351206,6-Sep-2018
20841,Stanley Engineered,10210612,95030,24-Jul-2018
20844,KazStroy,10210296,1589994,1-Jun-2018
20854,IEC-TSL,10210309,1894737,1-Jun-2018
