address_uid,company_uid,street1,pincode,city_name,country_code,State,gst,,
3495,1104,"KV-1/2, Savli G.I.D.C. Village Alindra",391775,Vadodara,IN,GJ,24AAECD2713N1ZQ,,
3495,1104,"KV-1/2, Savli G.I.D.C. Village Alindra",391775,Vadodara,IN,GJ,24AAECD2713N1ZQ,,
4635,1456,"No.74, 117 Lane, Tran Cung Street, Co Nhue 1 Ward,  BacTuLiem District",116806,Hanoi,VN,VN2,,,
4635,1456,"No.74, 117 Lane, Tran Cung Street, Co Nhue 1 Ward,  BacTuLiem District",116806,Hanoi,VN,VN2,,,
2310,522,GTCL Head Office Bhaban (5th Floor)  Plot No : F-18/A  Sher-E-Bangla Nagar Administration Area,1207,Agargaon,BD,dac,,,
2310,522,GTCL Head Office Bhaban (5th Floor)  Plot No : F-18/A  Sher-E-Bangla Nagar Administration Area,1207,Agargaon,BD,dac,,,
A206805,SC-207726,"H/0 629, 1st Floor, Dalal Building, Companywala Market Opp. Moti bakery , Kapasia Bazar , Kalupur",380002,Ahmedabad,IN,GJ,24FVKPS3057R1ZN,,
A206805,SC-207726,"H/0 629, 1st Floor, Dalal Building, Companywala Market Opp. Moti bakery , Kapasia Bazar , Kalupur",380002,Ahmedabad,IN,GJ,24FVKPS3057R1ZN,,
5265,1573,"Ground Floor C4C/332, JanakPuri,New Delhi -110058",122002,New Delhi,IN,DL,07AAACL6053B1ZY,,
5265,1573,"Ground Floor C4C/332, JanakPuri,New Delhi -110058",122002,New Delhi,IN,DL,07AAACL6053B1ZY,,
3018,995,"Ramtekdi Industrial Estate, Survey No. 107, Plot No. 5, Hissa No. 2B, Hadapsar",411013,Pune,IN,MH,,,
3018,995,"Ramtekdi Industrial Estate, Survey No. 107, Plot No. 5, Hissa No. 2B, Hadapsar",411013,Pune,IN,MH,,,
1862,248,"449/451, Cement Chwal, Katha Bazar",400009,Mumbai,IN,MH,27AAECM7237N1ZY,,
1862,248,"449/451, Cement Chwal, Katha Bazar",400009,Mumbai,IN,MH,27AAECM7237N1ZY,,
2081,582,"Office Of The DIGP,Group Centre",462045,Bhopal,IN,MP,,,
2081,582,"Office Of The DIGP,Group Centre",462045,Bhopal,IN,MP,,,
1324,47,"A-45, Road No. 10, Wagle Industrial Estate",400604,Thane,IN,MH,,,
1324,47,"A-45, Road No. 10, Wagle Industrial Estate",400604,Thane,IN,MH,,,
1636,148,"1432, Singhian Street, Fountain",110006,Delhi,IN,DL,07AEGPG7956R1ZN,,
1636,148,"1432, Singhian Street, Fountain",110006,Delhi,IN,DL,07AEGPG7956R1ZN,,
1637,148,"10,Shanti Vihar Near Karkardooma Court",110092,New Delhi,IN,DL,07AEGPG7956R1ZN,,
1637,148,"10,Shanti Vihar Near Karkardooma Court",110092,New Delhi,IN,DL,07AEGPG7956R1ZN,,
9404,SC-8846,"Unit II, Sy. No.93/3 93/4, Koralur Village, Kasaba Hobli, Hoskote Taluka",560067,Bangalore,IN,KA,,,
9404,SC-8846,"Unit II, Sy. No.93/3 93/4, Koralur Village, Kasaba Hobli, Hoskote Taluka",560067,Bangalore,IN,KA,,,
1818,211,Hazira,394510,Surat,IN,GJ,,,
1818,211,Hazira,394510,Surat,IN,GJ,,,
3744,SC-6944,"806, Empire Mahal, Dadar T. T. Circle Dadar East,",400014,Mumbai,IN,MH,27AACCT3866A1ZH,,
3744,SC-6944,"806, Empire Mahal, Dadar T. T. Circle Dadar East,",400014,Mumbai,IN,MH,27AACCT3866A1ZH,,
A206737,SC-207693,"228 229,Karma Estate, Trikampura Patia, GIDC, Vatva",382445,Ahmedabad,IN,GJ,24ACFPB9604G1ZZ,,
A206737,SC-207693,"228 229,Karma Estate, Trikampura Patia, GIDC, Vatva",382445,Ahmedabad,IN,GJ,24ACFPB9604G1ZZ,,
A206735,SC-207691,"Lehripura New Road, Dudhwala Mohalla, Chokshi Bazar",390001,Vadodara,IN,GJ,24AAPFM9713K1ZS,,
A206735,SC-207691,"Lehripura New Road, Dudhwala Mohalla, Chokshi Bazar",390001,Vadodara,IN,GJ,24AAPFM9713K1ZS,,
A206736,SC-207692,"302 Sai Darshan, Near ST. Augustine School, Barampur, Vasai Road (W)",401202,Mumbai,IN,MH,27ACEPT4154A1ZT,,
A206736,SC-207692,"302 Sai Darshan, Near ST. Augustine School, Barampur, Vasai Road (W)",401202,Mumbai,IN,MH,27ACEPT4154A1ZT,,
A208030,SC-208054,"83, Narayan Dhuru Street, First Floor,",400003,Mumbai,IN,MH,27AHXPM7986M1ZW,,
A208030,SC-208054,"83, Narayan Dhuru Street, First Floor,",400003,Mumbai,IN,MH,27AHXPM7986M1ZW,,
1571,SC-00057,"F-1/2, F-2, 2F5 Sipcot Industrial Park, Mambakkam, Sriperumbudur",602105,Chennai,IN,TN,,,
1571,SC-00057,"F-1/2, F-2, 2F5 Sipcot Industrial Park, Mambakkam, Sriperumbudur",602105,Chennai,IN,TN,,,
461,SC-01685,"No 2, MIDC Thane-Belapur Road, Airoli,",400708,Navi Mumbai,IN,MH,,,
461,SC-01685,"No 2, MIDC Thane-Belapur Road, Airoli,",400708,Navi Mumbai,IN,MH,,,
4050,996,"Monnet Marg, Mandir Hasaud",492101,Raipur,IN,CG,,,
4050,996,"Monnet Marg, Mandir Hasaud",492101,Raipur,IN,CG,,,
4996,996,"Village & PO: Naharpali,Teh:Kharsia",496661,Raigarh,IN,CG,,,
4996,996,"Village & PO: Naharpali,Teh:Kharsia",496661,Raigarh,IN,CG,,,
1325,48,"At Bol Shop No.2, 3, Ford Motor Company",382170,Ahmedabad,IN,GJ,,,
1325,48,"At Bol Shop No.2, 3, Ford Motor Company",382170,Ahmedabad,IN,GJ,,,
A210391,SC-208483,"B-15, Sector-05,",201301,Noida,IN,UP,09AADCE9479P1ZL,,
A210391,SC-208483,"B-15, Sector-05,",201301,Noida,IN,UP,09AADCE9479P1ZL,,
9932,SC-9290,"Manish Compound Bldg. No.1, Gala No. 264/44,rahnal Village, Anjur Phata,, Bhiwandi",391740,Vadodara,IN,GJ,27AAECA3633Q1ZC,,
9932,SC-9290,"Manish Compound Bldg. No.1, Gala No. 264/44,rahnal Village, Anjur Phata,, Bhiwandi",421302,Thane,IN,MH,27AAECA3633Q1ZC,,
1791,15,"002, Ground Floor, Balarama Building, Bandra-Kurla Complex, Bandra East",400051,Mumbai,IN,MH,27AAACJ0797L1Z6,,
1791,15,"002, Ground Floor, Balarama Building, Bandra-Kurla Complex, Bandra East",400051,Mumbai,IN,MH,27AAACJ0797L1Z6,,
6492,604,"Mahendragiri, Tirunelveli District",627133,Tirunelveli,IN,TN,33AAAGI0056H1ZV,,
6492,604,"Mahendragiri, Tirunelveli District",627133,Tirunelveli,IN,TN,33AAAGI0056H1ZV,,
1792,15,"3rd Floor, Keshav Building, Near Family Court, BKC, Bandra",400051,Mumbai,IN,MH,27AAACJ0797L1Z6,,
1792,15,"3rd Floor, Keshav Building, Near Family Court, BKC, Bandra",400051,Mumbai,IN,MH,27AAACJ0797L1Z6,,
1793,15,"L-121,M.I.D.C,Near Boc/Juliet Hosiery, Taloja,Panvel",410208,Panvel,IN,MH,27AAACJ0797L1Z6,,
1793,15,"L-121,M.I.D.C,Near Boc/Juliet Hosiery, Taloja,Panvel",410208,Panvel,IN,MH,27AAACJ0797L1Z6,,
6308,15,"Plot No-30, Institutional  Sector -44",122002,Gurgaon,IN,HR,,,
6308,15,"Plot No-30, Institutional  Sector -44",122002,Gurgaon,IN,HR,,,
2432,782,"Survey No 17/7/1 Office No 35 Nirman Arcade, , Nr Bhakti Shakti Chowk, Nigdi",411044,Pune,IN,MH,,,
