#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
11410055,29 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3937.,30 Nov 18,Telangana,,0,"2,07,734.88",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,207734.88,31688.38,28770,Dipali Ghanvat,
11410054,23 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3111.,23 Nov 18,Telangana,,0,"3,12,640.66",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,312640.66,47690.96,27753,Dipali Ghanvat,
11410053,23 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3801.,24 Nov 18,Telangana,,0,"3,36,378.32",Open,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,5 9 30 Road No.4 Basheerbagh Palace ColonyBasheerbagh Hyderabad 500063 Telangana,0,336378.32,50405.92,28998,Dipali Ghanvat,
11410052,22 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3773.,22 Nov 18,Telangana,,0,"1,811.31",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,1811.31,236.56,28283,Dipali Ghanvat,
11410051,21 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3767.,22 Nov 18,Telangana,,0,"6,626.60",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,6626.6,935.6,28826,Dipali Ghanvat,
11410050,19 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3683.,21 Nov 18,Telangana,,0,"1,19,885.06",Closed,Yes,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,119885.06,18287.56,28767,Dipali Ghanvat,
11410049,16 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3703.,17 Nov 18,Telangana,,0,"7,731.36",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,5 9 30 Road No.4 Basheerbagh Palace ColonyBasheerbagh Hyderabad 500063 Telangana,0,7731.36,1179.36,28869,Dipali Ghanvat,
11410048,15 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3636.,17 Nov 18,Telangana,,0,"30,650.14",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,5 9 30 Road No.4 Basheerbagh Palace ColonyBasheerbagh Hyderabad 500063 Telangana,0,30650.14,4675.44,28768,Dipali Ghanvat,
11410047,16 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3663.,17 Nov 18,Telangana,,0,"3,883.02",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,0,3883.02,592.32,28460,Dipali Ghanvat,
11410046,16 Nov 18,Piramal Enterprises Ltd.,Based On Sales Quotations 3666.,17 Nov 18,Telangana,,0,"6,77,318.10",Closed,No,0,0,0,Digwal VillageKohir Mandal Sangareddy 502321 Telangana,5 9 30 Road No.4 Basheerbagh Palace ColonyBasheerbagh Hyderabad 500063 Telangana,0,677318.10,103319.70,28669,Dipali Ghanvat,
