manufacturer_id,name,image,identifier,website,description,is_featured,status,option_id,meta_keywords,meta_description,file,brand_icon,featured_order,sap_code
3863,"WKM DYNACENTRIC",wkm-dynacentric.jpg,wkm-dynacentric,NULL,NULL,0,1,3661,,,b:0;,wkm-dynacentric.jpg,0,NULL
3864,"WKM DYNASEAL",wkm-dynaseal.jpg,wkm-dynaseal,NULL,NULL,0,1,3662,,,b:0;,wkm-dynaseal.jpg,0,NULL
3865,WMI,wmi.jpg,wmi,NULL,NULL,0,1,3663,,,b:0;,wmi.jpg,0,NULL
3866,"WNA COMET",NULL,wna-comet,NULL,NULL,0,0,3664,,,,,NULL,NULL
3867,"WOBBLE LIGHT",wobble-light.jpg,wobble-light,NULL,NULL,0,1,3665,,,b:0;,,0,NULL
3868,"WOLFPACK GEAR",wolfpack-gear.jpg,wolfpack-gear,NULL,NULL,0,1,3666,,,b:0;,,0,NULL
3869,WOLO,wolo.jpg,wolo,NULL,NULL,0,1,3667,,,b:0;,wolo.jpg,0,NULL
3870,WONDER,wonder.jpg,wonder,NULL,NULL,0,1,285402,,,b:0;,wonder.jpg,0,364
3871,"WOODFORD MFG.",woodford.jpg,woodford-mfg,NULL,NULL,0,1,3668,,,b:0;,,0,NULL
3872,WOODHEAD,woodhead.jpg,woodhead,NULL,NULL,0,1,3669,,,b:0;,woodhead.jpg,0,NULL
3873,WOODLAND,woodland.jpg,woodland,NULL,NULL,0,1,3670,,,b:0;,woodland.jpg,0,NULL
3874,WOODS,woods.jpg,woods,NULL,NULL,0,1,3671,,,b:0;,,0,NULL
3875,WOOSTER,wooster-.jpg,wooster,NULL,NULL,0,1,3672,,,b:0;,wooster-.jpg,0,NULL
3876,"WOOSTER PRODUCTS",wooster-products.jpg,wooster-products,NULL,NULL,0,1,3673,,,b:0;,,0,NULL
3877,"WORK KING",work-king.jpg,work-king,NULL,NULL,0,1,3674,,,b:0;,work-king.jpg,0,NULL
3878,"WORK MASTER",work-master.jpg,work-master,NULL,NULL,0,1,3675,,,b:0;,,0,NULL
3879,"WORK SHARP",work-sharp.jpg,work-sharp,NULL,NULL,0,1,3676,,,b:0;,,0,NULL
3880,WORKEASY,workeasy.jpg,workeasy,NULL,NULL,0,1,3677,,,b:0;,workeasy.jpg,0,NULL
3881,WORKRITE,workrite.jpg,workrite,NULL,NULL,0,1,3678,,,b:0;,workrite.jpg,0,NULL
3882,"WORKSHOP HERO",workshop-hero-.jpg,workshop-hero,NULL,NULL,0,1,3679,,,b:0;,workshop-hero-.jpg,0,NULL
3883,WORKSMAN,worksman.jpg,worksman,NULL,NULL,0,1,3680,,,b:0;,,0,NULL
3884,"WORLD DRYER",world-dryer.jpg,world-dryer,NULL,NULL,0,1,3681,,,b:0;,world-dryer.jpg,0,NULL
3885,"WORLD PREP",world-prep.jpg,world-prep,NULL,NULL,0,1,3682,,,b:0;,world-prep.jpg,0,NULL
3886,WORLDTEK,NULL,worldtek,NULL,NULL,0,0,285484,,,,,NULL,815
3887,"WORLDWIDE MATERIAL HANDLING",worldwide-material-handling.jpg,worldwide-material-handling,NULL,NULL,0,1,3683,,,b:0;,worldwide-material-handling.jpg,0,NULL
3888,WORTHINGTON,worthington.jpg,worthington,NULL,NULL,0,1,3684,,,b:0;,,0,NULL
3889,"WORTHINGTON CYLINDERS",NULL,worthington-cylinders,NULL,NULL,0,0,3685,,,,,NULL,NULL
3890,"WORX ALL-NATURAL HAND CLEANER",worx-all-natural-hand-.jpg,worx-all-natural-hand-cleaner,NULL,NULL,0,1,3686,,,b:0;,,0,NULL
3891,WRANGLER,wrangler-.jpg,wrangler,NULL,NULL,0,1,3687,,,b:0;,wrangler-.jpg,0,NULL
3892,WRIGHT,wright.jpg,wright,NULL,NULL,0,1,3688,,,b:0;,,0,NULL
3893,"WRIGHT FLOW",NULL,wright-flow,NULL,NULL,0,0,3689,,,,,NULL,NULL
3894,"WRIGHT TOOL",NULL,wright-tool,NULL,NULL,0,0,3690,,,,,NULL,NULL
3895,WYCO,NULL,wyco,NULL,NULL,0,0,3691,,,,,NULL,NULL
3896,WYK,wyk-.jpg,wyk,NULL,NULL,0,1,3692,,,b:0;,wyk-.jpg,0,NULL
3897,"WYK SUPER SORBENT",NULL,wyk-super-sorbent,NULL,NULL,0,0,3693,,,,,NULL,NULL
3898,X-ACTO,x-acto-.jpg,x-acto,NULL,NULL,0,1,3696,,,b:0;,x-acto-.jpg,0,142
3899,X-AMES,NULL,x-ames,NULL,NULL,0,0,3697,,,,,NULL,NULL
3900,X3,NULL,x3,NULL,NULL,0,0,3694,,,b:0;,,0,NULL
3901,"X3 CLEAN",x3-clean.jpg,x3-clean,NULL,NULL,0,1,3695,,,b:0;,x3-clean.jpg,0,NULL
3902,XCELITE,xcelite.jpg,xcelite,NULL,NULL,0,1,3698,,,b:0;,xcelite.jpg,0,NULL
3903,XENON,xenon.jpg,xenon,NULL,NULL,0,1,3699,,,b:0;,,0,NULL
3904,XLERATOR,xlerator.jpg,xlerator,NULL,NULL,0,1,3700,,,b:0;,,0,NULL
3905,XPLORO,xploro.jpg,xploro,NULL,NULL,0,1,3701,,,b:0;,,0,NULL
3906,XSORB,xsorb.jpg,xsorb,NULL,NULL,0,1,3702,,,b:0;,xsorb.jpg,0,NULL
3907,"XTEND & CLIMB",xtend-climb.jpg,xtend-climb,NULL,NULL,0,1,3703,,,b:0;,,0,NULL
3908,"XTRA SEAL",xtra-seal.jpg,xtra-seal,NULL,NULL,0,1,3704,,,b:0;,xtra-seal.jpg,0,NULL
3909,XTRATUF,xtratuf-.jpg,xtratuf,NULL,NULL,0,1,3705,,,b:0;,xtratuf-.jpg,0,NULL
3910,"XTREME STEAM",NULL,xtreme-steam,NULL,NULL,0,0,3706,,,,,NULL,NULL
3911,YAKTRAX,yaktrax.jpg,yaktrax,NULL,NULL,0,1,3707,,,b:0;,,0,NULL
3912,YALE,yale.jpg,yale,NULL,NULL,0,1,3708,,,b:0;,,0,907
3913,"YALE REAL LIVING",yale-real-living.jpg,yale-real-living,NULL,NULL,0,1,3709,,,b:0;,yale-real-living.jpg,0,NULL
3914,YANCHI,yanchi.jpg,yanchi,NULL,NULL,0,1,3710,,,b:0;,,0,NULL
3915,YANKEE,yankee.jpg,yankee,NULL,NULL,0,1,3711,,,b:0;,yankee.jpg,0,1372
3916,"YARD BUTLER",NULL,yard-butler,NULL,NULL,0,0,3712,,,,,NULL,NULL
3917,"YELLOW AS PER SAMPLE SUBMITTED",NULL,yellow-as-per-sample-submitted,NULL,NULL,0,0,285428,,,,,NULL,1965
3918,"YELLOW JACK-IT",yellow-jack-it.jpg,yellow-jack-it,NULL,NULL,0,1,3714,,,b:0;,yellow-jack-it.jpg,0,NULL
3919,"YELLOW JACKET",yellow-jacket-.jpg,yellow-jacket,NULL,NULL,0,1,3713,,,b:0;,yellow-jacket-.jpg,0,1839
3920,"YG-1 TOOL COMPANY",NULL,yg-1-tool-company,NULL,NULL,0,0,3715,,,,,NULL,NULL
3921,YOKE,yoke.jpg,yoke,NULL,NULL,0,1,3716,,,b:0;,yoke.jpg,0,NULL
3922,"YOUNG BROS. STAMP WORKS",1-young-bros.-stamp-works.jpg,young-bros-stamp-works,NULL,NULL,0,1,3717,,,b:0;,,0,NULL
3923,"YOUNGSTOWN GLOVE CO.",youngstown-glove-co..jpg,youngstown-glove-co,NULL,NULL,0,1,3718,,,b:0;,,0,NULL
3924,YSI,ysi-.jpg,ysi,NULL,NULL,0,1,3719,,,b:0;,ysi-.jpg,0,NULL
3925,Z-FLEX,z-flex.jpg,z-flex,NULL,NULL,0,1,3731,,,b:0;,z-flex.jpg,0,NULL
3926,"ZAFETY LUG LOCK",NULL,zafety-lug-lock,NULL,NULL,0,0,3720,,,,,NULL,NULL
3927,ZEBRA,NULL,zebra,NULL,NULL,0,0,3721,,,,,NULL,66
3928,"ZEBRA PEN",zebra.jpg,zebra-pen,NULL,NULL,0,1,3722,,,b:0;,,0,NULL
3929,ZEELINE,NULL,zeeline,NULL,NULL,0,0,3723,,,,,NULL,NULL
3930,"ZEP PROFESSIONAL",zep-professional.jpg,zep-professional,NULL,NULL,0,1,3724,,,b:0;,zep-professional.jpg,0,NULL
3931,ZEREX,zerex.jpg,zerex,NULL,NULL,0,1,3725,,,b:0;,zerex.jpg,0,NULL
3932,"ZERO POINT",NULL,zero-point,NULL,NULL,0,0,3726,,,,,NULL,NULL
3933,ZETEX,zetex.jpg,zetex,NULL,NULL,0,1,3727,,,b:0;,zetex.jpg,0,NULL
