Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
26827,11410023,42269,49878
26835,11410015,22953,25707
26837,10210867,60000,70800
26842,10210905,57341,67662
26843,10610381,9500,11210
26844,10211009,33834,39924
26845,11410011,26334,31074
26846,10210900,8994,10613
26847,10211031,10167,11997
26848,10610344,267490,299589
26850,10210872,135786,160228
26852,10210844,52560,58867
26855,10610358,7500,8850
26856,10210884,575000,678500
26876,10210854,64229,75790
26878,10210849,4000,4720
26880,11210060,895,944
26881,10211319,47823,56431
26882,10210929,42192,49787
26883,10210852,94500,111510
26884,10211071,60000,70800
26888,10211423,1170000,1361997
26891,10210859,10000,11800
26892,10210913,26775,31595
26894,10910102,2175,2567
26895,10910097,2175,2567
26896,10910100,2175,2567
26897,10910101,2175,2567
26899,10910098,2175,2567
26900,10910099,2175,2567
26901,10910110,0,0
26901,10910112,780000,873600
26904,10210943,31968,37722
26918,10210895,147368,173894
26922,10211202,8280,9770
26925,10910103,4350,5133
26927,10210953,50960,60133
26933,10210956,11000,12980
26938,10610408,1784,2105
26940,10210888,5945,7015
26944,10210933,13220,13220
26945,10210938,63157,74525
26949,10210878,2128,2511
26963,10910106,3625,4278
26964,10910105,2175,2567
26966,10211299,3620669,4272389
26970,11210062,13599,15462
26977,10210917,24500,28910
26978,10210890,27368,32294
26980,10210965,349375,412263
26981,11210061,921,1087
26984,10610407,50000,59000
26985,10210962,14530,17088
26987,10211092,30106,35526
26988,11410006,31880,37618
26989,10210868,128326,151424
26993,10910121,88426,104343
26995,10210906,32000,37760
26997,10610377,16500,19470
26998,10210866,267968,316202
27013,11410018,197541,233098
27013,11410026,19800,23364
27016,10210942,450000,531000
27020,10210916,70275,82925
27026,10610367,11145,14266
27030,11210063,1321,1559
27035,10210875,1440000,1699200
27039,10210983,14364,16950
27042,10210898,9950,11741
27044,10610383,0,0
27044,10610422,57569,67932
27045,10610423,14061,16574
27046,10610432,13334,15718
27049,10210952,13667,16127
27057,10211153,9841,11613
27060,10210891,58142,68608
27070,10210921,43745,55663
27071,10211103,78022,87773
27075,10210902,38024,44868
27076,10211115,3523,4157
27080,10210886,138158,163026
27090,10210941,4950,5841
27096,10610364,13300,15694
27097,10210882,1398,1650
27106,10610395,1059,1250
27107,10610403,12401,14633
27109,10910108,3449,4069
27110,10610399,19666,23206
27111,10610398,2856,3370
27117,10211004,10000,11800
27118,11410012,24600,29028
27120,10910111,24500,28910
27121,10210985,559400,660092
27122,10210932,5100,6018
27123,10210887,246915,291360
27125,10610365,15600,18408
27126,10210901,7788,9190
27131,10610369,1100,1298
27131,10610589,4382,5171
27132,10211068,16737,19749
27136,10910107,144165,170115
27138,10610370,4750,5386
27139,10610373,39472,46577
27144,10610400,13571,16014
27145,10210923,1007300,1188614
27149,10610391,39688,46832
27151,10211403,91600,108088
27158,10211048,23100,29018
27158,10211050,23100,29018
27160,10211049,70600,90068
27162,10210936,77782,91783
27163,10210894,138840,163831
27164,10210910,70620,83332
27165,11210066,22706,26845
27166,10210930,56250,63000
27168,10211254,53041,62588
27170,11410022,66150,78057
27172,10610374,23630,27883
27175,10210999,112631,118262
27182,11410014,21329,25168
27187,10210987,4879,5661
27188,10211439,258148,301082
27189,10211060,29050,34279
27197,10610421,4611,5441
27201,10210908,37283,43994
27203,10910146,8000,9440
27207,10610430,30929,36496
27208,10610405,1418,1674
27212,10210907,65800,77644
27213,10210920,18000,21240
27216,10610420,100246,118290
27220,10610378,4980,5876
27224,11410016,14972,17667
27227,10210964,5912,6621
27229,10610410,17857,21054
27230,10610417,5700,6726
27234,10610409,4896,5778
27235,11210064,141,167
27236,10210988,33043,38991
27238,10210940,25069,32088
27239,11210065,47150,54208
27244,10610590,1699421,2005317
27245,10211070,709,837
27248,10210976,4800,5664
27249,10210993,35043,38355
27264,10610382,37899,44721
27265,10610419,72800,85904
27274,10211073,3007,3548
27286,10211074,80360,87944
27288,10610386,38750,43400
27294,10211221,39930,47117
27295,10210998,10589,13077
27298,10211085,44810,52876
27300,10211017,4787,5649
27303,10210989,5100,6018
27306,10210961,5796,6840
27313,10910179,7308,8623
27314,10210937,8000,8400
27318,10211029,17621,20793
27322,10610459,75600,89208
27323,10211173,24421,28817
27328,10211318,9521,10664
27331,10210927,8000,9440
27346,10211019,32158,34782
27352,10211035,4043,4771
27357,10210958,119702,141248
27363,10211010,26152,30859
27368,10610404,376344,444086
27372,10210971,1012853,1225092
27373,10610411,3507,4138
27379,10610396,7580,8944
27382,10210939,3000,3150
27387,10210969,9900,11682
27389,10211111,6640,7279
27389,10211170,6955,8206
27392,10210950,5800,6844
27398,10910178,3158,3726
27403,11410019,57375,67703
27404,11410020,7650,9027
27406,11410021,286539,338116
27407,10211007,10638,12553
27408,10210963,8275,9765
27413,10211041,38910,43579
27418,10210995,8511,10043
27420,10210951,1832,2161
27423,10210945,1695650,2000867
27425,10210946,2595320,3062478
27427,10211024,241824,289185
27427,10211487,218040,257287
27430,10211044,20520,24214
27432,10211181,77419,91355
27441,10610444,30949,36520
27442,10211056,27635,32609
27443,10610412,13200,15576
27449,10610502,41602,49091
27456,10211023,51750,60838
27456,10211063,20000,21000
27461,10210957,114065,134597
27465,10610450,79982,94379
27467,10211008,4614,5444
27468,10210966,34043,40170
27470,10211036,11250,13275
27484,10610401,5236,6178
27487,10610402,961,1134
27488,10610520,37285,43996
27489,11210067,8296,9790
27492,10211066,10500,10500
27493,10210967,21763,25681
27494,10910156,173249,204434
27495,10910114,262290,309502
27497,10211379,55294,65246
27498,10211037,11516,13589
27499,10211495,21131,24934
27500,10211105,17526,19629
27501,10211089,5040,5947
27502,10211081,77400,91332
27503,10210982,4950,5544
27504,10211486,25000,28960
27506,10210978,126000,126000
27507,10210991,8379,9887
27510,10210972,900,1062
27512,10210979,192350,226973
27514,10910117,515789,608632
27515,10211232,35929,42397
27516,10211149,167391,197522
27519,10910118,46342,54684
27524,10910176,10263,12110
27526,10210981,395320,466478
27528,10210975,1830683,2160206
27530,10211022,38075,42645
27530,10211028,117381,138509
27533,10211045,27870,32887
27535,10211001,30375,35843
27543,10210977,704680,831522
27544,10610413,1250,1475
27546,10211259,26505,31276
27547,10610463,162168,191358
27548,10210984,7501748,7501748
27551,10211079,87912,103736
27552,10211086,133404,140074
27553,10211091,133404,140074
27557,10610453,7250,8555
27559,10910115,24030,27343
27568,10610415,147110,173590
27572,10211113,85957,101430
27573,10211280,50152,59180
27576,10211154,51919,61265
27579,10211052,417220,492320
27580,10210992,172788,203890
27592,10211043,41436,48895
27599,10211394,142000,181760
27600,10610489,14696,17341
27604,10610418,28350,33453
27606,10211201,93185,109958
27609,10211003,32490,38338
27610,10211047,27578,32543
27612,10211014,166979,197035
27613,11410027,101462,119726
27614,10211087,26470,31235
27615,10211144,175000,206500
27617,10210997,10028,11833
27624,10211000,93740,110613
27630,10211067,45598,53805
27631,11410028,5843,6894
27636,10211083,7893,9314
27649,10211025,18660,22018
27651,10211011,26596,31383
27652,11410029,50700,59826
27658,10211002,1408360,1661864
27666,10610443,20900,24662
27667,10211097,87000,102660
27668,10211006,931303,1098937
27670,11210070,18600,21948
27671,10910119,28000,33040
27678,10211078,89053,99739
27679,10211034,2447,2887
27688,10211160,4035,4761
27691,10211026,5625,6638
27692,10211012,4761120,5618122
27692,10211030,1937708,2286495
27694,10211013,5692696,6717382
27697,10211080,6400,7552
27699,10211018,9038,10665
27701,10610442,24953,29444
27702,10211027,9600,11328
27705,10211021,192165,226755
27708,11410032,488471,576395
27709,11210068,38678,45640
27710,10211387,72800,85794
27714,10910132,67200,67200
27727,11210069,6360,7505
27733,10910122,1225,1286
27735,10610424,6929,8176
27736,10211140,19681,23223
27737,10610456,34000,40120
27741,10211109,8511,10043
27742,10910123,44685,50992
27751,10211062,27750,32745
27752,10610425,444,523
27753,11410054,264950,312641
27758,10211042,10075,10579
27761,10211061,79594,93921
27767,10610439,320,378
27768,10211033,1003690,1184354
27777,10211088,3518,3694
27778,10211059,26596,31383
27779,10610501,546114,644414
27780,11410035,10166,11996
27781,11410031,168670,199030
27782,10211493,68810,68810
27783,10610426,36025,42510
27790,10211038,94500,111510
27792,10211172,6559,7740
27794,10211072,8500,10030
27799,10211040,34200,35910
27800,10910130,321300,337365
27802,10211204,8697,10263
27806,10610431,39375,39375
27807,10610435,56111,66039
27810,11210082,18600,21948
27819,10610625,55650,65667
27825,10211077,4580,4809
27826,10211075,220660,260379
27828,10910177,27557,32517
27832,10610440,4608,5437
27834,10610460,6892,8133
27835,10211054,38512,45444
27836,10211053,40652,47970
27837,10610429,19200,22656
27841,10211174,51280,60510
27853,10610433,45450,51903
27858,10610522,37031,43696
27860,10211117,111625,131718
27869,10211163,80446,94926
27872,10211196,94975,112071
27874,10610434,24430,28827
27878,10610437,215,254
27881,11210074,2581,3046
27884,11210080,88416,104331
27893,10211320,14140,16685
27896,10610438,22383,26412
27902,10211216,79676,94018
27907,10610458,1937000,2285660
27910,10910128,14150,16076
27912,10211141,128493,151621
27913,10211333,94554,111574
27917,11410036,133924,158030
27919,10211090,27970,33005
27922,10610441,1270,1499
27923,10211150,69827,69827
27924,10910127,56050,66139
27925,10211133,92400,104768
27929,10211267,11460,11460
27932,10211187,3869,4565
27934,10910138,178000,210040
27938,10610473,12000,13440
27946,10910137,2736,3228
27946,10910139,2736,3228
27947,10910164,239230,253574
27949,11410030,15300,18054
27959,10211084,12489,14738
27960,10211135,107698,113083
27962,10211096,7070,8343
27963,10211303,55200,65136
27964,10610559,26190,30904
27965,10211082,24825,29294
27967,10211095,277335,327256
27969,10910145,16421,18973
27972,10610521,122608,144677
27972,10610532,122608,144677
27979,10211099,267234,315336
27981,10211451,58000,68440
27986,10610467,6613,7803
27990,10610449,2030,2395
27991,10211136,5684,5968
27992,10211106,98952,116763
27994,10211121,5474,6131
27995,11210071,5850,6903
27996,10610445,2651,3128
27997,10610446,2535,2991
27999,10211123,340430,357452
28003,11210072,2600,3068
28005,10211094,3000,3150
28007,10610447,3600,4248
28008,10610448,2826,3334
28009,10211104,110621,130533
28011,10910129,37687,43798
28012,10211157,539887,637066
28013,10211358,279540,293517
28017,10211241,4436,5234
28026,10211122,1578,1862
28027,10211222,239838,283009
28031,10211371,32850,38763
28039,11210075,47150,54208
28041,10610451,54500,57225
28043,10211118,258533,305069
28044,10211131,34889,41169
28045,10211390,68085,80340
28046,10211496,330849,390401
28047,10211126,9546,11264
28053,10211148,215957,254830
28056,10211227,18723,22094
28058,10211098,244985,289082
28060,10211100,184000,217120
28061,10211161,5260,6207
28064,10211176,13243,15627
28066,10610452,816148,963055
28070,10211147,242553,286213
28072,10211351,89855,106029
28079,10211120,3321,3918
28083,10211130,16632,19625
28085,10610455,1329,1568
28096,10610454,3800,4484
28097,10211110,98010,115652
28101,10211454,50000,59000
28104,10211138,11145,13151
28107,10211146,15325,18083
28126,10610564,58000,68440
28127,10211107,167420,190570
28136,11410033,101118,119319
28139,10610461,4620,5452
28141,10211116,46492,54860
28146,10211132,34945,41235
28151,10211213,288479,340405
28154,10211301,67500,75600
28163,10211185,60916,60916
28164,10211169,5876,6934
28167,10610547,12000,14160
28177,10211128,18053,21303
28178,10910134,6000,7080
28181,10910133,516000,577920
28188,10211311,18391,21701
28200,10211364,400527,448590
28204,10610462,24965,29459
28206,10211285,62560,73821
28208,10610468,8017,9460
28210,10211408,10212,11437
28211,10211137,364086,429622
28212,11410034,85870,101327
28213,10910141,389268,435980
28216,10211296,54211,63969
28218,11210073,1065,1256
28224,10610464,109000,114450
28227,10211497,289396,341487
28228,10211357,13793,16275
28229,10610466,31452,37113
28230,10610465,10242,11476
28232,10211156,23300,27494
28235,10211142,23497,27726
28239,10211197,49794,49794
28242,10211134,244215,288174
28246,10910136,199750,235705
28250,10610474,1275,1504
28253,10211180,24985,29482
28266,10211282,44255,52221
28277,10211184,25000,29500
28281,10211168,20000,21000
28283,11410052,1575,1811
28288,10211223,30341,35802
28292,10211365,85449,100830
28296,10211158,137669,162449
28297,10610469,2400,2832
28298,10211389,175000,206500
28300,10610536,23306,27502
28301,10211151,7200,8496
28302,10610485,9000,10080
28303,10610624,66675,78677
28308,10910142,2341440,2341440
28309,10610472,9919,11607
28312,10211175,165362,195128
28313,10211306,16320,19258
28324,10610471,4294,5067
28325,10211441,63920,75426
28333,10211361,111053,124379
28340,10211195,326422,385178
28342,10910143,129600,129600
28344,10211208,6600,8448
28350,10610483,8783,10364
28352,10211155,7800,8736
28355,10610497,894000,1054920
28356,10610493,19390,22880
28357,10211305,89780,105940
28362,10211194,7327,8646
28363,10610475,19384,22873
28369,10211183,3250,3835
28372,10610480,10070,11278
28372,10610491,30868,36424
28372,10610498,25221,30666
28372,10610519,4461,5264
28377,10610476,20750,21788
28377,10610513,31540,33117
28380,10211335,439250,518315
28381,10910140,178000,210040
28382,10211395,199222,235082
28387,10211164,21500,25370
28391,10211167,20400,24072
28391,10211402,10200,12036
28393,10211214,36180,37989
28396,10211268,99118,116959
28403,10610481,12121,14303
28409,11210077,1553,1833
28414,11210076,8671,10232
28421,10211251,19783,21748
28422,10211354,18467,19390
28424,10211407,69120,81562
28427,10211166,4950,5544
28428,10211192,1505,1776
28434,10610479,3400,4012
28443,10211162,1500,1770
28445,10910180,5803,7428
28447,10211275,11370450,11370450
28448,10610482,10878,12836
28455,10211198,466,550
28458,10910144,5263,6211
28459,10211229,16814,19841
28460,11410047,3291,3883
28464,10610478,4215,4974
28468,10610477,3400,4012
28469,10610584,21819,25746
28477,10610484,8484,10860
28479,11210079,195189,219062
28488,10211314,33404,37426
28496,10211310,11755,13871
28497,10211362,39000,46020
28499,10211416,174489,205897
28506,10211190,950729,1121861
28507,10211186,27405,27405
28509,10211428,32150,37937
28511,10910151,6150,7257
28512,10910148,10600,12508
28516,10610486,17820,21028
28517,10610487,24725,27692
28522,10610488,1995,2354
28532,10211236,24800,29264
28534,10211219,677680,799662
28535,10910160,4040,4767
28540,10610490,21788,25709
28552,10211193,5150,6077
28554,10910150,56868,67104
28559,10211220,413388,487798
28565,10910152,27500,35090
28571,10211503,827,975
28572,11410038,6726,8546
28574,11410041,123508,145739
28578,11410039,56975,67231
28579,10211200,232200,232200
28585,10610552,7385,8714
28587,10211343,64599,76226
28588,10610494,509337,601018
28591,10211272,48800,53112
28594,10610492,211375,249423
28597,10211211,8500,9948
28601,10211248,211989,250147
28603,10610495,266495,314464
28604,10610500,39748,46902
28605,10610496,583000,687940
28611,10211334,10379,12247
28613,11210081,10400,12011
28614,10610511,5391,6362
28617,10211287,16500,19470
28618,10610510,20628,24338
28624,10211203,17679,20861
28626,10610504,22080,23184
28628,10211264,117263,138370
28629,10211224,40000,42000
28629,10211261,20000,21000
28629,10211424,20000,21000
28631,10211215,6941,8191
28635,10211205,3409,4022
28636,10211249,11000,12980
28637,10211207,976419,1152174
28641,10211231,56491,66659
28642,10610499,9192,9652
28644,10211317,24000,28320
28645,10211511,14454,17056
28647,10610507,23272,27021
28650,10211512,23404,27617
28654,10610545,56156,63303
28661,10211212,104820,123688
28665,10211469,205237,229865
28668,10211225,76694,90498
28669,11410046,573998,677318
28671,10211243,114580,135204
28672,10610506,6000,7080
28674,10211218,4800,5040
28677,10211217,94440,111439
28679,10211265,66842,78874
28682,11210086,112769,131954
28683,10610523,14273,16842
28687,10211385,29434,34732
28690,10910154,23100,27258
28691,10211286,37800,37800
28694,10211228,180921,231579
28698,10610505,26375,31123
28702,10211233,70000,82600
28705,10211290,39924,47110
28707,10211461,7000,8260
28711,10610512,517978,663012
28713,10610508,21496,25365
28715,10211484,32250,38055
28716,10211258,1299974,1520772
28717,10211237,24000,28320
28718,10211263,17176,20268
28722,10211242,2957,3490
28724,10910159,2400,2832
28725,10211342,591667,698167
28725,10211444,66359,78303
28726,10211312,17899,21121
28729,10211291,37792,44594
28731,10610514,8000,9440
28733,10610539,67200,79296
28733,10610557,14400,16992
28733,10610567,288175,340047
28742,10211266,12000,13440
28744,10211289,31955,37706
28746,10211245,94500,111510
28747,10211238,26000,30680
28748,10211382,95810,122636
28749,10610515,1306,1541
28755,10211309,21347,25189
28756,10610544,77700,91686
28759,10211294,228125,269188
28763,10610531,277359,355020
28765,10211240,118600,139948
28767,11410050,0,0
28767,11410060,102698,121183
28768,11410048,25975,30650
28769,11410042,59780,70540
28770,11410055,176047,207735
28772,10211278,7285,8596
28773,10211381,25500,30090
28774,10610524,171327,202166
28774,10610537,89649,105785
28774,10610566,12502,14752
28775,10211360,42000,49560
28782,10610596,2177,2569
28783,10211283,6850,7641
28784,10211377,40000,47200
28786,10211468,440000,519200
28787,10910157,102600,107730
28788,10211250,86000,101480
28789,10610555,22426,26462
28793,10610604,4310,5086
28795,10211252,215000,253700
28799,10610517,7830,9239
28800,10211257,38700,45666
28801,10211273,4341,4992
28803,10211247,8800,8800
28804,10211346,226282,267012
28805,10211288,12062,14233
28807,10910158,419040,419040
28815,10211279,35052,39258
28817,10610563,5130,6053
28818,10211372,13895,16396
28826,11410051,5691,6627
28827,10211315,35138,41463
28829,10211367,25857,30511
28830,10211401,56600,59430
28831,10211462,35239,41582
28832,10211378,36894,43534
28837,10910173,32660,36067
28843,10211270,18000,18900
28844,10211368,57000,67260
28845,10610516,324000,414720
28852,10610583,8500,9520
28858,10610543,202800,239304
28860,10211438,3582,4227
28861,10211380,3638,4293
28863,10610598,6959,8211
28864,10211494,26120,30822
28869,11410049,6552,7731
28870,11410043,3330,3929
28871,10610518,11200,13216
28874,10211276,38645,45601
28875,10610542,7320,8638
28876,10211269,11435,13494
28877,10910167,2400,2832
28879,10610550,15789,18631
28882,10211432,37811,44617
28887,11210084,322000,379960
28888,11210085,35000,41300
28889,11410066,35842,41844
28892,11210083,45050,57664
28893,10211277,68842,81234
28894,10211507,174717,206166
28898,10211284,1840,2171
28899,10211352,35520,39714
28899,10211479,4000,4200
28902,10211271,193500,193500
28904,10910162,800,944
28908,10910169,44,49
28909,10910165,2400,2832
28911,10910161,1600,1888
28913,10211321,73500,86730
28914,10211501,7283,8593
28917,10610525,81786,104686
28918,10910163,800,944
28919,10211274,1068779,1261160
28920,10211480,2000,2360
28921,10211292,45000,50400
28924,11410040,6300,7434
28926,10610533,13038,15385
28928,10211418,33263,37760
28930,10610599,94080,111014
28931,10211293,66760,78777
28933,10211295,19999871,23599848
28933,10211297,4770058,5628668
28934,10211348,46320,48636
28935,10610535,5042,5949
28941,11210087,76900,76900
28950,10211411,6600,7392
28957,10610526,62093,79479
28961,10610530,1400,1652
28962,10211304,14045,16573
28965,10211442,30230,35672
28967,11210088,9900,11125
28969,10910166,20112,22525
28971,10211326,7104,8382
28972,11210089,725,775
28985,10211398,21999,21999
28986,10610527,12000,14160
28989,11410045,5292,6245
28991,11410044,61576,72660
28995,10211419,68963,81377
28998,11410053,285972,336378
29002,10211324,6809,7149
29003,10610528,26880,31718
29010,10610529,8960,10573
29012,10211455,60891,71852
29013,10610534,8598,10146
29018,10910170,4505,5070
29019,10910171,8763,10007
29020,11210090,47099,54409
29025,10910168,2400,2832
29041,10211344,1994,2353
29042,10211384,39737,45610
29043,10910172,2400,2832
29046,10211449,182233,215034
29047,10211331,39900,44688
29049,10211397,887250,887250
29054,10211446,14528,17142
29055,10211332,16129,19032
29056,10211313,49889,58869
29058,10910174,2400,2832
29060,10211405,21064,24855
29064,10211329,10270,11921
29067,10610558,67600,79768
29070,10910175,3200,3776
29074,10610538,6286,7112
29076,10610578,31725,35532
29077,10610615,119310,134936
29080,10211399,9263,10931
29088,10610540,28290,33382
29089,10211370,4181088,4966074
29091,10211396,113750,134225
29092,10610576,27000,31860
29095,10211322,677966,800000
29108,11210091,3256,3842
29109,10610587,11000,12980
29112,10211330,53474,63099
29114,10211325,136056,160546
29125,10610562,22680,26762
29126,10610548,295000,348100
29130,10610541,264515,312127
29130,10610573,1468545,1732883
29130,10610575,71262,84090
29137,10211463,295627,348840
29138,10610546,5746,6780
29149,10211366,13651,16108
29154,10610571,36000,42480
29155,10610549,2200,2596
29156,10211336,7500,8850
29157,10211337,111800,131924
29161,10211338,103200,121776
29162,10610574,2935,3463
29164,10211341,55600,65608
29165,10211340,11180,13192
29167,10211339,1090414,1286689
29171,11210094,49672,58613
29178,10610554,6625,7675
29182,10211345,101031,119217
29183,10211470,79112,88881
29186,11210092,3600,4248
29187,10211472,16880,19918
29189,10211459,36702,43309
29194,10211359,37167,43857
29200,10211349,8734,10306
29203,10211353,11070,11624
29204,10610580,6611,7800
29205,10211355,11080,11634
29207,10211504,34255,40421
29212,11410056,440562,519863
29217,10610579,8873,10470
29223,10211393,36003,41373
29226,10211383,168000,198240
29227,10211413,8860,10455
29229,10211363,64000,71680
29233,10211491,2990,3528
29234,10610561,27445,32385
29235,10211373,198350,234053
29236,10211406,22500,26550
29246,10211431,9628,10784
29257,10211376,6090,7186
29261,10211375,8120,9582
29262,10610597,13500,15930
29263,11410058,85265,100613
29265,11410057,9612,11342
29266,10211374,2400,2832
29267,11410061,2011,2345
29275,10610565,87400,91770
29279,10610569,1800,2124
29280,11210093,32735,38627
29284,10910187,108800,128384
29289,11410065,5820,6868
29292,10610582,37883,44702
29295,10610586,58334,68827
29296,10211386,74988,88486
29297,10610568,49849,58822
29305,10610600,4100,4838
29306,10610606,45234,53376
29337,10211437,20625,26400
29340,10610572,6440,7599
29342,10410004,32707760,38595156
29344,10610608,17400,19488
29347,10211391,33000,38940
29348,11410062,74731,88182
29349,10610594,21000,24780
29351,10211471,624000,698880
29366,10211476,2905,3428
29372,10610623,6318,7455
29378,10211485,61517,72591
29389,10610577,7183,8475
29390,10610601,20466,24150
29393,10910185,144000,144000
29394,10211404,355097,419014
29398,10211400,4632,5465
29407,10610581,16220,18863
29408,10211453,72340,85362
29410,11210095,13442,15862
29411,10910182,300,354
29412,10211409,2298,2711
29419,10211410,1461851,1724984
29420,10211434,308775,364355
29423,10211417,3140963,3706336
29429,10211421,9999925,11799912
29429,10211422,9365525,11051320
29434,10610585,18000,21240
29436,10211420,102672,121153
29437,10910193,200000,236000
29441,10910181,18300,20390
29444,11410064,50411,59485
29447,10211430,102000,107100
29451,10211426,48300,56994
29452,10910188,3786,4467
29453,10211427,5150,6077
29454,10211425,9633531,11367566
29455,11410059,125705,148332
29456,10211508,29684,33246
29461,10211429,19280,22750
29462,10211435,48739,57512
29466,10910184,17373,20335
29467,10610588,2250,2655
29475,10211440,4839057,5710087
29477,10610611,9540,11257
29478,10211450,12750,15046
29482,10211433,16000,16800
29484,10610617,54000,63720
29485,10910183,180800,213344
29487,10211436,23840,28132
29490,10610605,9263,10930
29494,10211445,138315,163212
29501,10211473,7234,8536
29504,10610593,7595,8751
29505,10211448,1795,2118
29507,10211477,4301,5505
29518,11410063,24960,29453
29523,10211447,287176,352782
29525,10610595,20586,24291
29527,10211452,3723,4394
29549,10211483,52591,62058
29553,10211478,50250,59295
29555,10610602,90240,106483
29563,10211457,151556,178836
29565,10610603,8640,10150
29566,10211465,20000,23600
29568,10211502,173872,205169
29570,11410067,163931,193439
29573,10211458,40909,48272
29579,10610622,104573,123396
29582,10211456,374230,441591
29589,10211490,299904,353887
29590,10211474,39575,46698
29592,10211460,9870,11647
29599,10211464,7447,8787
29602,10910191,1001,1181
29607,10610612,16015,18898
29619,10610609,148632,175386
29626,10211467,22871,26987
29627,10610607,5600,6608
29629,10910186,2400,2832
29638,10211475,15106,17826
29663,10910198,14950,16963
29664,10610610,7500,7875
29666,10910190,40712,48041
29669,10211492,39361,46446
29676,10211482,94500,111510
29690,10211481,2691322,3175760
29695,10211488,1998455,2358176
29695,10211489,5013983,5916500
29700,10610616,4590,5416
29706,10211498,9330,11009
29711,10910195,13500,15930
29716,10910194,3000,3150
29722,10910192,3654,4312
29731,10211506,3026,3571
29745,10910197,60550,68641
29748,10211499,11445,13505
29751,10211509,3227,3808
29756,10211500,74532,87948
29761,10211513,76211,89929
29776,11410068,151317,178554
29796,10910196,5600,6608
29798,10211505,1488,1756
29808,10211510,351624,414916
29830,11210096,5760,6797
2003271,2003271,7304,8619
AMAZON_1,AMAZON_1,91482,107949
CUM01,CUM01,5800000,5800000
O-0001,Order1,34422,40617
O-0002,Order2,59972,70767
O-0003,Order3,3151,3718
O-0004,Order4,19671,23211
O-0005,Order5,1678,1980
O-0006,Order6,20706,24433
WTE-1,WTE-1,23000000,23000000
WTE-10,WTE-10,59523810,59523810
WTE-10,WTE-11,-5690476,-5690476
WTE-11,WTE-11,21904762,21904762
WTE-12,WTE-12,21904762,21904762
WTE-13,WTE-13,21904762,21904762
WTE-14,WTE-14,43809524,43809524
WTE-2,WTE-2,4000000,4000000
WTE-3,WTE-3,46000000,46000000
WTE-4,WTE-4,6500000,6500000
WTE-5,WTE-5,3500000,3500000
WTE-6,WTE-6,3500000,3500000
WTE-7,WTE-7,23000000,23000000
WTE-8,WTE-8,6000000,6000000
WTE-9,WTE-9,4000000,4000000
