Inquiry number,company id,company name
7534,174,ITC Grand Central - A Luxury Collection Hotel
7536,316,TAG Offshore Ltd.
7542,93,Directorate Of Purchase And Stores
7544,93,Directorate Of Purchase And Stores
7546,303,SMPS Supply Pvt. Ltd.
7557,273,Renishaw Metrology Systems Ltd.
7559,364,Hind Offshore Pvt. Ltd.
7564,213,Mahindra Comviva
7578,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8917,127,General Energy Management Systems Pvt. Ltd.
8505,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7587,155,Indraprastha Gas Ltd.
7600,102,Engineers India Ltd.
7601,238,National Institute of Technology Hamirpur
7613,23,Allegion India Pvt. Ltd.
11076,271,Raymond Ltd.
7628,264,Project Supply Systems
26812,1813,The Oberoi Hotels
7632,93,Directorate Of Purchase And Stores
26814,1810,RINA India Pvt. Ltd.
7640,93,Directorate Of Purchase And Stores
11068,498,Colgate-Palmolive India Ltd.
7641,204,Lupin Ltd.
11060,495,Shardul Amarchand Mangaldas and Co.
7659,93,Directorate Of Purchase And Stores
7663,330,UNIFAB Engineering Project Pvt. Ltd.
7672,213,Mahindra Comviva
7686,269,Ramelex Pvt. Ltd.
7687,269,Ramelex Pvt. Ltd.
11046,491,Visen Industries Ltd.
7700,327,Tony Trading Co.
8947,31,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.
7724,59,Cairn India Ltd.
25,105,Emerson Innovation Center
7734,178,JFE Shoji Steel India Pvt. Ltd.
7748,264,Project Supply Systems
7751,267,Rail Coach Factory
10984,481,Myntra Jabong India Pvt. Ltd.
7772,316,TAG Offshore Ltd.
8976,402,Time Techno Plast Ltd.
7784,267,Rail Coach Factory
8978,338,Vigel Manufacturing Technologies Pvt. Ltd.
10934,474,SKC Group
10932,95,Donatekart
7797,59,Cairn India Ltd.
16138,1652,Apollo MedSkills
7806,34,ATA Enterprises
10759,80,D. P. Jindal Group of Industries
7802,267,Rail Coach Factory
7819,34,ATA Enterprises
16140,552,Orient Electric
4729,366,HMT Machine Tools Ltd.
16307,611,Demosha Chemicals Pvt. Ltd.
16141,1653,Acer Granito Pvt. Ltd.
16142,1654,Elica Vitrified Pvt. Ltd.
16143,1655,Zed Vitrified Pvt. Ltd.
8994,212,Mahavir Trading Corporation
7876,266,Radhe Shyam Industries
7880,121,Wipro GE Healthcare Pvt. Ltd.
10846,122,GE India Industrial Pvt. Ltd. (Division: JFWTC)
16147,1152,Kirloskar Pneumatic Co. Ltd.
10773,450,Godrej Agrovet Ltd.
9019,290,Sebros Steel Pvt. Ltd.
8014,51,Bharat Petroleum Corporation Ltd.
8027,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8026,15,Accuramech Industrial Engineering Pvt. Ltd.
4781,397,Tapasya engineering
8032,15,Accuramech Industrial Engineering Pvt. Ltd.
8037,338,Vigel Manufacturing Technologies Pvt. Ltd.
9029,228,Metal Home Engineering
8049,210,Magarpatta Clubs and Resorts Pvt. Ltd.
10723,215,Maschio Gaspardo India Pvt. Ltd.
9065,320,Talwandi Sabo Power Ltd.
1200,699,Technofinish Industries
9072,294,Shelf Drilling Offshore Services India Pvt. Ltd.
8170,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8169,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8197,59,Cairn India Ltd.
8210,303,SMPS Supply Pvt. Ltd.
8224,9,Survival Systems India
8233,203,Lovely Professional University
4892,16,ACE Technologies and Packaging Systems Pvt. Ltd.
26956,1760,ITC Maratha - A Luxury Collection Hotel
26959,620,Vedanta Ltd. (Division # Cairn Oil and Gas)
8237,267,Rail Coach Factory
4898,11,CourtYard
8248,9,Survival Systems India
9085,271,Raymond Ltd.
9090,271,Raymond Ltd.
10656,204,Lupin Ltd.
9091,271,Raymond Ltd.
10654,441,Blumenbecker KAT Automation Pvt. Ltd.
5177,108,ESK Telecom India
8377,291,Sew-Eurodrive India Pvt. Ltd.
10626,306,Sotax India Pvt. Ltd.
8397,59,Cairn India Ltd.
9130,7,Cipla Ltd.
8416,7,Cipla Ltd.
8421,64,Chris Garrod Global India Pvt. Ltd.
27022,558,SHV Energy Pvt. Ltd.
8425,65,Cinda Engineering and Construction Pvt. Ltd.
8432,65,Cinda Engineering and Construction Pvt. Ltd.
9135,228,Metal Home Engineering
16188,266,Radhe Shyam Industries
8449,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
9138,67,Cleartech Fabrics
10612,195,Larsen and Toubro Ltd.
8464,9,Survival Systems India
8465,193,Kubota Agricultural Machinery India Pvt. Ltd.
16191,1087,Demi Speciality Chemicals and Co.
8479,115,Flipkart Internet Pvt. Ltd.
27067,505,Croda India Company Pvt. Ltd.
16192,1090,Monsoon Agro Bio Ltd.
27068,1797,Patvin Engineering Pvt. Ltd.
8490,199,Lanco Kondapalli Power Ltd.
8499,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
