increment_id,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
27316,65321,27316,12,765109,3,0,0,0.00,0.00,1,2052.63,"MPCB 4A, LandT make",0.00,0.00,0,0,1950.00,BM9U5W3,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,4112,16,"CGST + SGST 18%",0,8536,NULL,NULL,0,0
27315,65284,27315,1,765085,1,0,0,0.00,0.00,1,111449.06,"Puller Jaw Heavy Duty TMMP 15 SKF",0.00,0.00,0,0,89159.25,BM9U7C5,a%3A0%3A%7B%7D,NULL,0.00,"TMMP 15 ",ea,"14-16 weeks",0,0,1369,16,"CGST + SGST 18%",0,8203,NULL,0,0,0
27315,65285,27315,2,765084,2,0,0,0.00,0.00,1,3400.57,"Bearing SKF SY 512 M Bracket Type",0.00,0.00,0,0,2992.50,BM9Z8H9,a%3A0%3A%7B%7D,NULL,0.00,"SY 512 ",ea,"4-6 weeks",0,0,1369,16,"CGST + SGST 18%",0,8483,NULL,1,0,0
27314,65379,27314,2,753650,20,0,40,0.00,0.00,1,400.00,"Antistatic Reflective Jacket, Size - XL",0.00,0.00,0,0,380.00,BM9M8J4,a%3A0%3A%7B%7D,NULL,420.00,,ea,"2-3 days",0,0,0,18,"CGST + SGST 5%",0,6201,NULL,0,1,0
27311,65390,27311,1,765166,6,0,0,0.00,0.00,1,3600.00,"Nilkamal make wheel mounted dustbin 120 ltr. Capacity MODEL NUMBER- WB120",0.00,0.00,0,0,2700.00,BM9U5B7,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"3-4 weeks",0,0,1369,16,"IGST 18%",0,3926,NULL,NULL,0,0
27311,65391,27311,2,765167,6,0,0,0.00,0.00,1,4920.00,"Nilkamal make wheel mounted dustbin 240 ltr. Capacity MODEL NUMBER - WB240",0.00,0.00,0,0,3690.00,BM9Q9U5,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"3-4 weeks",0,0,1369,16,"IGST 18%",0,3926,NULL,NULL,0,0
27306,65270,27306,1,764830,3,3,0,0.00,0.00,1,909.09,"N99PROTO Blue basic Adblue 20 Ltr can",0.00,0.00,0,0,850.00,BM9T2W8,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"1 week",0,0,6089,16,"CGST + SGST 18%",0,3102,NULL,1,0,0
27306,65271,27306,2,764831,3,3,0,0.00,0.00,1,1022.73,"N99PROTO Klass blue DEF 20 Ltr can",0.00,0.00,0,0,800.00,BM9R3H6,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"1 week",0,0,6089,16,"CGST + SGST 18%",0,3102,NULL,2,0,0
27306,65604,27306,3,765328,1,0,0,0.00,0.00,1,0.00,N99PROTO,0.00,0.00,1,0,NULL,BM9R5K1,NULL,NULL,0.00,,,,0,0,NULL,NULL,NULL,0,NULL,NULL,0,0,1
27303,65383,27303,1,765160,50,0,0,0.00,0.00,1,45.35,"Bearing 51104--MWZ Make",0.00,0.00,0,0,39.00,BM9Y3Y1,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"8-10 days",0,0,5751,16,"CGST + SGST 18%",0,8482,NULL,NULL,0,0
27303,65384,27303,2,765162,50,0,0,0.00,0.00,1,51.16,"Bearing 51104--IBM Make",0.00,0.00,0,0,44.00,BM9U8G6,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"8-10 days",0,0,5751,16,"CGST + SGST 18%",0,8482,NULL,NULL,0,0
27303,65385,27303,3,765161,50,0,0,0.00,0.00,1,48.84,"Bearing 51104--BMT Make",0.00,0.00,0,0,42.00,BM9Y1P9,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"8-10 days",0,0,5751,16,"CGST + SGST 18%",0,8482,NULL,NULL,0,0
27303,65386,27303,4,765163,50,0,0,0.00,0.00,1,48.84,"Bearing 51104--FandD Make",0.00,0.00,0,0,42.00,BM9U2Q3,a%3A0%3A%7B%7D,NULL,0.00,.,ea,"8-10 days",0,0,5751,16,"CGST + SGST 18%",0,8482,NULL,NULL,0,0
27300,65281,27300,1,765082,1,0,0,0.00,0.00,1,3723.40,"Oil Ultime sales Presenter",0.00,0.00,0,0,3500.00,BM9Z9Q1,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,5917,16,"CGST + SGST 18%",0,9983,NULL,0,0,0
27300,65282,27300,2,765083,1,0,0,0.00,0.00,1,1063.83,"Oil Ultime Print Ad",0.00,0.00,0,0,1000.00,BM9S3R2,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,5917,16,"CGST + SGST 18%",0,9983,NULL,1,0,0
27298,65261,27298,1,763590,1,0,0,0.00,0.00,1,7278.41,"Taie Pid Controllers FY/PFY Series (Master)",0.00,0.00,0,0,6475.00,BM9P8T7,a%3A0%3A%7B%7D,NULL,0.00,"FY-900-301-003 ",ea,"1-2 weeks",0,0,5967,16,"CGST + SGST 18%",0,9032,NULL,0,0,0
