Order Number,Sales Order Row ID,SKU,Old Margin,New Margin,Unit Cost Price with Freight,Unit Selling Price
10610435,21614,BM9R4C7,11.76,12.28,34.0,38.76
10610435,21622,BM9V2X9,11.76,12.02,140.0,159.12
10610435,21623,BM9V5M2,11.76,12.02,140.0,159.12
10610435,21624,BM9Z9F1,11.76,12.02,140.0,159.12
10610435,21625,BM9U8H4,11.76,12.02,140.0,159.12
10610435,21632,BM9Q7C6,11.76,11.81,403.0,456.96
10610435,21635,BM9Q2S9,11.76,12.12,147.0,167.28
10211083,21723,BM00008,100.0,37.67,1000.0,1604.28
10211084,21727,BM00008,100.0,5.0,200.0,210.53
10910132,21825,BM9Q2L6,-290.53,-290.46,95.0,24.33
10211117,21854,BM00008,100.0,11.11,8000.0,9000.0
10211124,21941,BM0K9T2,12.97,13.72,58.0,67.22
10610108,16818,BM9K1J7,100.0,98.87,0.22,19.52
10610244,18685,BM9S7X2,15.05,10.19,1.85,2.06
10211131,21976,BM9Q3J6,14.5,14.59,298.0,348.89
10211138,22001,BM00008,100.0,5.0,500.0,526.32
10610466,22009,BM9Q3Y7,30.07,30.88,12.0,17.36
10610466,22010,BM9X1H6,22.98,25.12,13.0,17.36
10610466,22012,BM9W2X1,29.6,30.53,23.0,33.11
10610466,22013,BM9R4E5,30.0,30.31,40.0,57.4
10211146,22192,BM00008,100.0,0.0,3500.0,3500.0
10211169,22272,BM00008,100.0,40.0,300.0,500.0
10610478,22356,BM9Z7Z2,4.76,4.74,16.804,17.64
10211262,23186,BM9U5J3,12.44,12.54,3.0,3.43
10211262,23187,BM9R2C8,12.44,12.5,3.5,4.0
10211262,23188,BM9Y1C1,12.44,12.47,4.0,4.57
10211262,23189,BM9V1M8,12.44,12.47,4.0,4.57
10211262,23190,BM9R9L1,12.44,12.45,4.5,5.14
10211262,23191,BM9Z6R1,12.44,12.43,5.0,5.71
10211262,23192,BM9X1J2,12.44,12.45,65.0,74.24
10211283,23386,BM3X4Y9,14.44,13.44,7.79,9.0
10211290,23450,BM00008,100.0,0.0,423.73,423.73
"",23714,BM9K6H8,0.0,-10000000,0.0,0.0
"",23715,BM9K6H9,0.0,-10000000,0.0,0.0
"",23987,BM9L3D6,0.0,-10000000,0.0,0.0
"",24304,BM9E6Q7,87.0,86.93,4.0,30.6
"",24305,BM9E6Q8,85.0,84.68,5.0,32.64
"",24307,BM9M7F6,70.0,70.08,12.0,40.11
"",24308,BM9M7F7,62.0,61.62,18.0,46.9
"",24311,BM9M7G1,40.0,39.53,10.6,17.53
"",24317,BM9M7G7,24.0,23.61,45.0,58.91
"",24336,BM9M7J8,18.0,18.03,37.42,45.65
"",24337,BM9M7J9,30.0,29.53,25.25,35.83
"",24338,BM9M7K1,64.0,63.93,5.27,14.61
"",24339,BM9M7K2,56.0,56.44,12.28,28.19
"",24341,BM9M7K4,21.0,20.77,3.51,4.43
"",24342,BM9M7K5,15.0,14.49,35.69,41.74
"",24343,BM9M7K6,15.0,15.05,19.31,22.73
"",24347,BM9M7L1,18.0,18.32,4.68,5.73
10610586,26012,BM0C6F4,19.4,19.2,16.16,20.0
10211431,26171,BM9R9O0,5.0,4.99,55.0,57.89
10211431,26172,BM9W2Y6,5.0,4.99,55.0,57.89
10211457,26334,BM9Q3J6,14.5,14.59,298.0,348.89
10211463,26365,BM9E6G0,10.0,9.98,42.86,47.61
11410066,26428,BM9W4A9,34.78,33.7,15.25,23.0
10211618,27468,BM00008,100.0,0.0,2000.0,2000.0
10211641,27743,BM9P9G5,13.67,11.87,2.45,2.78
10211641,27744,BM9Q9W1,12.27,11.86,10.85,12.31
10211658,27947,BM9P9Y2,58.3333333333333,62.5,0.9,2.4
10211738,28395,BM9P6H9,3.62,3.61,35.664,37.0
10211738,28397,BM9A1H7,4.39,4.38,79.3632,83.0
10610701,28470,BM9S6B2,4.96,4.82,2.684,2.82
10610701,28471,BM9S8K8,5.02,4.88,2.844,2.99
10610701,28473,BM9T3R5,4.84,4.79,8.264,8.68
10610701,28474,BM9Q1Q3,4.77,4.74,16.384,17.2
10610701,28475,BM9T6J7,4.8,4.76,9.124,9.58
10610701,28476,BM9V8M7,4.74,4.72,10.252,10.76
10610701,28477,BM9Y5G6,4.73,4.74,19.728,20.71
10610701,28478,BM9P4W9,4.77,4.75,10.792,11.33
10610701,28479,BM9S7F2,4.71,4.73,14.776,15.51
