increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
20176,NULL,SC-00029,56212,22811,1,645838,1,0,0,0.00,0.00,1,0.00,"STANLEY 1/2"" Square Drive Torque Wrench, 25-135Nm - EVT1200A",0.00,0.00,0,0,7136.25,BM0C9B9,NULL,NULL,0.00,EVT1200A,EA,,0,0,135,16,"IGST 18%",0,82041120,NULL,NULL,0,0
20176,NULL,SC-00029,56213,22811,2,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20177,NULL,SC-00029,56214,22812,1,646166,1,0,0,0.00,0.00,1,0.00,"STANLEY Circlip Plier, Straight Internal, Length 230 mm/9"" - 84-364-23",0.00,0.00,0,0,307.40,BM0C7S2,NULL,NULL,0.00,84-364-23,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20177,NULL,SC-00029,56215,22812,2,698425,1,0,0,0.00,0.00,1,0.00,"STANLEY Plier Long Nose, Length 203 mm/8"" - STHT84102-8",0.00,0.00,0,0,200.68,BM1G0B8,NULL,NULL,0.00,STHT84102-8,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20178,NULL,SC-00029,56216,22813,1,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20179,NULL,SC-00029,56217,22814,1,698425,1,0,0,0.00,0.00,1,0.00,"STANLEY Plier Long Nose, Length 203 mm/8"" - STHT84102-8",0.00,0.00,0,0,200.68,BM1G0B8,NULL,NULL,0.00,STHT84102-8,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20180,NULL,SC-00029,56218,22815,1,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20181,NULL,SC-00029,56219,22816,1,95846,1,0,0,0.00,0.00,1,466.10,"STANLEY Glue-Reg Gun Round Pin 100-240V Ce - 69-GR20B",0.00,0.00,0,0,427.90,BM0C6Z9,NULL,NULL,466.10,69-GR20B,EA,,0,0,135,16,"IGST 18%",0,85151100,NULL,NULL,0,0
20181,NULL,SC-00029,56220,22816,2,678151,1,0,0,0.00,0.00,1,42.38,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,42.38,BM99999,NULL,NULL,106.78,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20182,NULL,SC-00029,56221,22817,1,678151,1,0,0,0.00,0.00,1,106.78,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,106.78,BM99999,NULL,NULL,42.38,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
