Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Elixir India and Co.,Elixir India and Co.,No-Yes,Elixir,Elixir India,Customer
,Emaar MGF Emerald Hills,Emaar MGF Emerald Hills,No-Yes,Emaar MGF,Emaar MGF Emerald,Customer
,Engineers India Ltd.,Engineers India Ltd.,No-Yes,EIL,Engineers India,Customer
,Enzene Biosciences Ltd.,Enzene Biosciences Ltd,Yes-No,Enzene Biosciences,Enzene Biosciences,Customer
,ESK India Commerce & Trade Pvt. Ltd.,ESK India Commerce & Trade Pvt. Ltd.,No-Yes,ESK,ESK India Commerce & Trade Pvt. Ltd.,Customer
,ESK Telecom India,ESK Telecom India,No-Yes,ESK,ESK Telecom,Customer
,Eternis Fine Chemicals Ltd.,Eternis Fine Chemicals Ltd.,No-Yes,Eternis Chemicals,Eternis,Customer
,ExxonMobil Company India Pvt. Ltd.,ExxonMobil Company India Pvt. Ltd.,No-Yes,ExxonMobil,Exxon,Customer
,ExxonMobil Service and Technology Pvt. Ltd.,ExxonMobil Service and Technology Pvt. Ltd.,No-Yes,ExxonMobil,Exxon,Customer
,Faiveley Transport Rail Technologies India Ltd.,Faiveley Transport Rail Technologies India Limited,Yes-No,Faiveley Transport,Faiveley Transport,Customer
,FDC Ltd.,FDC Ltd.,No-Yes,FDC,FDC Ltd.,Customer
,Fernas Construction Co. Inc.,Fernas Construction Co. Inc.,No-Yes,Fernas Construction,Fernas,Customer
,Fidus India,Fidus India,No-Yes,Fidus,Fidus India,Customer
,Fine Organic Industries Ltd.,Fine Organic Industries Ltd.,No-Yes,Fine Organic,Fine Organic Industries Ltd.,Customer
,Flexituff International Ltd.,Flexituff International Ltd.,No-Yes,Flexituff International,Flexituff Intl,Customer
,Forza Medi India Pvt. Ltd.,Forza Medi India Pvt. Ltd.,No-Yes,Forza Medi,Forza Medi India,Customer
,Freight Systems India Pvt. Ltd.,Freight Systems India Pvt. Ltd.,No-Yes,Freight System,Freight System India,Customer
,Fugro Survey India Pvt. Ltd.,Fugro Survey India Pvt. Ltd.,No-Yes,Fugro Survey,Fugro Survey India,Customer
,Gadre Marine Export Pvt. Ltd.,GADRE MARINE EXPORT PVT. LTD.,No-Yes,Gadre Marine Export,GADRE MARINE EXPORT PVT. LTD.,Customer
Yes,GAIL India Ltd.,GAIL India Limited,Yes-Yes,GAIL,Legacy Account,Customer
,Gainwell Commosales Pvt. Ltd.,Gainwell Commosales Private Limited,Yes-No,Gainwell Commosales,Gainwell Commosales,Customer
,Gayatri Engineering And Robotics Solutions,Gayatri Engineering And Robotics Solutions,No-Yes,Gayatri Engineering And Robotics,Gayatri Engg-Robotic,Customer
,Geekays India,Geekays India,No-Yes,Geekays,Geekay,Customer
,General Energy Management Systems Pvt. Ltd.,General Energy Management Systems Pvt. Ltd.,No-Yes,General Energy,General Energy Sys.,Customer
,GeoEnpro Petroleum Ltd.,GeoEnpro Petroleum Ltd.,No-Yes,GeoEnpro Petroleum,GeoEnpro Petroleum Ltd.,Customer
,Ghanshyam Engineering Co.,Ghanshyam Engineering Co.,No-Yes,Ghanshyam Engineering,Ghanshyam Engg,Customer
,Ghatge Patil Industries Pvt. Ltd.,Ghatge Patil Industries Pvt. Ltd.,No-Yes,Ghatge Patil,Ghatge Patil Indus,Customer
,Gillette India Ltd.,Gillette India Ltd.,No-Yes,P&G,Gillette India Ltd.,Customer
