invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
202001491,2019-08-05 17:51:15,36924,2019-07-29 15:16:10,8/19/2019,8/8/2019,-11,ON OR BEFORE TIME,8/8/2019
202001493,2019-08-05 18:26:47,36448,2019-07-16 12:44:20,8/6/2019,8/6/2019,0,ON OR BEFORE TIME,8/6/2019
202001492,2019-08-05 18:01:38,35709,2019-06-20 12:17:58,10/15/2019,8/6/2019,-70,ON OR BEFORE TIME,8/6/2019
202001585,2019-08-12 15:38:36,36964,2019-07-30 16:17:54,8/21/2019,8/17/2019,-4,ON OR BEFORE TIME,8/17/2019
202001494,2019-08-06 10:56:08,36317,2019-07-10 17:57:12,8/9/2019,8/7/2019,-2,ON OR BEFORE TIME,8/7/2019
205000212,2019-08-08 16:51:43,37115,2019-08-02 14:46:11,9/30/2019,8/3/2019,-58,ON OR BEFORE TIME,8/3/2019
204000544,2019-08-06 11:36:07,29459,2018-12-01 11:17:43,12/5/2019,8/6/2019,-121,ON OR BEFORE TIME,8/6/2019
202001543,2019-08-08 16:53:55,35640,2019-06-18 14:31:23,7/10/2019,7/9/2019,-1,ON OR BEFORE TIME,7/9/2019
204000558,2019-08-08 16:56:54,35723,2019-06-20 15:40:10,7/16/2019,8/14/2019,29,DELAYED BY >28 DAYS,8/14/2019
205000225,2019-08-12 11:57:59,35804,2019-06-24 15:54:01,7/15/2019,8/12/2019,28,DELAYED BY >28 DAYS,8/12/2019
202001496,2019-08-06 11:46:30,35709,2019-06-20 12:17:58,10/15/2019,8/6/2019,-70,ON OR BEFORE TIME,8/6/2019
202001513,2019-08-07 11:38:42,36497,2019-07-17 14:25:42,7/30/2019,7/29/2019,-1,ON OR BEFORE TIME,7/29/2019
202001499,2019-08-06 12:15:39,30498,2019-01-07 13:06:42,1/31/2019,1/30/2019,-1,ON OR BEFORE TIME,1/30/2019
202001497,2019-08-06 11:43:44,33112,2019-03-27 15:13:50,4/15/2019,4/14/2019,-1,ON OR BEFORE TIME,4/14/2019
202001500,2019-08-06 12:17:42,28679,2018-11-01 15:53:50,11/1/2018,10/31/2018,-1,ON OR BEFORE TIME,10/31/2018
202001498,2019-08-06 12:19:18,30450,2019-01-04 16:25:39,1/31/2019,1/30/2019,-1,ON OR BEFORE TIME,1/30/2019
202001495,2019-08-06 11:28:05,35003,2019-05-27 16:53:59,6/1/2019,5/31/2019,-1,ON OR BEFORE TIME,5/31/2019
202001545,2019-08-08 17:27:32,36533,2019-07-18 11:59:06,7/31/2019,7/29/2019,-2,ON OR BEFORE TIME,7/29/2019
202001693,2019-08-20 16:02:07,37570,2019-08-14 13:40:48,8/20/2019,8/20/2019,0,ON OR BEFORE TIME,8/20/2019
202001487,2019-08-05 13:02:18,33207,2019-03-30 11:04:37,5/29/2019,3/11/2019,-79,ON OR BEFORE TIME,3/11/2019
202001541,2019-08-08 15:43:36,37154,2019-08-03 11:55:00,8/19/2019,8/12/2019,-7,ON OR BEFORE TIME,8/12/2019
204000545,2019-08-06 15:09:24,36642,2019-07-22 11:54:19,7/31/2019,7/28/2019,-3,ON OR BEFORE TIME,7/28/2019
202001576,2019-08-12 12:13:01,35003,2019-05-27 16:53:59,6/1/2019,5/31/2019,-1,ON OR BEFORE TIME,5/31/2019
202001544,2019-08-08 17:06:32,36854,2019-07-26 12:48:28,8/6/2019,8/4/2019,-2,ON OR BEFORE TIME,8/4/2019
202001699,2019-08-20 18:34:48,37333,2019-08-08 13:25:11,9/9/2019,8/22/2019,-18,ON OR BEFORE TIME,8/22/2019
202001698,2019-08-20 18:35:25,37346,2019-08-08 17:44:50,9/5/2019,8/20/2019,-16,ON OR BEFORE TIME,8/20/2019
204000592,2019-08-21 16:53:11,37675,2019-08-16 18:07:21,9/14/2019,8/21/2019,-24,ON OR BEFORE TIME,8/21/2019
205000245,2019-08-20 13:33:52,36494,2019-07-17 12:34:11,7/31/2019,7/29/2019,-2,ON OR BEFORE TIME,7/29/2019
202001701,2019-08-20 19:04:55,37346,2019-08-08 17:44:50,9/5/2019,8/17/2019,-19,ON OR BEFORE TIME,8/17/2019
202001675,2019-08-20 10:39:18,36722,2019-07-23 16:13:58,8/15/2019,8/14/2019,-1,ON OR BEFORE TIME,8/14/2019
202001702,2019-08-20 19:57:41,35977,2019-06-29 15:05:34,7/5/2019,7/5/2019,0,ON OR BEFORE TIME,7/5/2019
202001606,2019-08-13 17:47:42,35195,2019-06-03 11:47:49,7/15/2019,7/12/2019,-3,ON OR BEFORE TIME,7/12/2019
204000583,2019-08-19 14:22:56,35723,2019-06-20 15:40:10,7/16/2019,7/15/2019,-1,ON OR BEFORE TIME,7/15/2019
202001502,2019-08-06 15:25:21,36598,2019-07-19 16:07:15,7/31/2019,7/30/2019,-1,ON OR BEFORE TIME,7/30/2019
204000547,2019-08-06 15:44:05,36706,2019-07-23 14:05:17,8/1/2019,8/16/2019,15,DELAYED BY 14-28 DAYS,8/16/2019
202001609,2019-08-13 18:25:31,35517,2019-06-13 15:05:04,8/8/2019,8/7/2019,-1,ON OR BEFORE TIME,8/7/2019
205000230,2019-08-12 15:20:30,35628,2019-06-18 11:58:49,8/14/2019,8/14/2019,0,ON OR BEFORE TIME,8/14/2019
202001598,2019-08-13 13:33:05,28641,2018-10-31 17:26:29,11/1/2018,10/31/2018,-1,ON OR BEFORE TIME,10/31/2018
