inquiry_number,client order date,order_number,old_order_number,order date,SKU,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,mismatch(total with tax),,total with tax mismatch(sprint - bible),Analysis notes,Kit order
2210,24-Sep-2015,100000310,nil,24-Sep-2015,BM1A8R6,3130.00,3536.90,14085.00,15845.63,12308.73,,-12308.73,,
2208,24-Sep-2015,100000311,nil,24-Sep-2015,BM1A8R9,185000.00,209050.00,185000.00,208125.00,925.00,,925.00,,
2202,24-Sep-2015,100000312,nil,24-Sep-2015,BM1A8S1,1740.00,1966.20,1740.00,1957.50,8.70,,8.70,,
2195,13-Oct-2015,100000313,nil,13-Oct-2015,BM1A8S7,6750.00,7087.50,17550.00,18427.50,11340.00,,-11340.00,,
2188,22-Sep-2015,100000314,nil,22-Sep-2015,BM1A8R8,5142.00,5142.00,21144.00,21144.00,16002.00,,-16002.00,,
2170,16-Nov-2015,100000315,nil,16-Nov-2015,BM1A8S5,7563.00,8546.19,7563.00,8508.38,37.82,,37.82,,
2134,27-Dec-2015,100000317,nil,27-Dec-2015,BM1A8Q7,12309.00,13909.17,84257.00,94789.13,80879.96,,-80879.96,,
2120,24-Sep-2015,100000318,nil,24-Sep-2015,BM1A8Q8,3735.00,3735.00,7408.00,7408.00,3673.00,,-3673.00,,
2118,10-Sep-2015,100000319,nil,10-Sep-2015,BM1A3U7,847.00,957.11,1231.00,1384.88,427.77,,-427.77,,
2108,24-Sep-2015,100000321,nil,24-Sep-2015,BM1A8T1,2222.00,2510.86,2222.00,2499.75,11.11,,11.11,,
2052,9-Nov-2015,100000322,nil,9-Nov-2015,BM1A8L8,42960.00,48544.80,42960.00,48330.00,214.80,,214.80,,
2050,26-Oct-2015,100000323,nil,29-Dec-2015,BM1A8S6,27360.00,30916.80,27360.00,30780.00,136.80,,136.80,,
2049,17-Nov-2015,100000324,nil,17-Nov-2015,BM1A9B3,6612.00,7471.56,6612.00,7438.50,33.06,,33.06,,
2048,27-Oct-2015,100000325,nil,22-Nov-2015,BM1A8U6,13000.00,14690.00,13000.00,14625.00,65.00,,65.00,,
2036,11-Dec-2015,100000327,nil,11-Dec-2015,BM1A8L9,117686.00,132985.18,180212.00,202738.50,69753.32,,-69753.32,,
2014,30-Sep-2015,100000328,nil,30-Sep-2015,BM1A8T4,47727.00,53931.51,50727.00,57067.88,3136.37,,-3136.37,,
1901,7-Sep-2015,100000329,nil,7-Sep-2015,BM1A8I1,3440.00,3887.20,3440.00,3870.00,17.20,,17.20,,
1900,28-Sep-2015,100000330,nil,28-Sep-2015,BM1A8T6,21500.00,24295.00,21500.00,24187.50,107.50,,107.50,,
4865,15-Jun-2016,100000331,nil,15-Jun-2016,BM9A3T9,3813.34,4385.34,28536.75,32817.26,28431.92,,-28431.92,,
1893,24-Aug-2015,100000332,nil,30-Oct-2015,BM1A8H9,78312.00,88492.56,105032.00,118161.00,29668.44,,-29668.44,,
1887,7-Oct-2015,100000335,nil,7-Oct-2015,BM1A8X3,20260.00,22893.80,21839.00,24568.88,1675.08,,-1675.08,,
4814,8-Jun-2016,100000338,nil,8-Jun-2016,BM9A2D9,46560.00,52612.80,46560.00,52380.00,232.80,,232.80,,
