Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Bhagyanagar Gas Ltd.,Bhagyanagar Gas Ltd.,Bhagyanagar Gas,Bhagyanagar Gas,Customer
,Bhanu Concrete,Bhanu Concrete,Bhanu Concrete,Bhanu Concrete,Customer
,Bharat Aluminium Company Ltd,Bharat Aluminium Company Ltd,Bharat Aluminium,Bharat Aluminium,Customer
,Bharat Bijlee Ltd.,Bharat Bijlee Ltd.,Bharat Bijlee,Bharat Bijlee,Customer
,Bharat Biotech,Bharat Biotech,Bharat Biotech,Bharat Biotech,Customer
,Bharat Electronics Ltd.,Bharat Electronics Ltd.,BEL,BEL,Customer
,Bharat Foils Ltd.,Bharat Foils Ltd.,Bharat Foils,Bharat Foils,Customer
,Bharat Heavy Electricals Ltd.,Bharat Heavy Electricals Ltd.,BHEL,BHEL,Customer
,Bharat Hotels Ltd. Unit : The Lalit Mumbai,Bharat Hotels Ltd.; Unit : The Lalit Mumbai,The Lalit,The Lalit,Customer
,Bharati Chemicals,Bharati Chemicals,Bharati Chemicals,Bharati Chemicals,Customer
,Bharat Matrimony Ltd.,Bharat Matrimony Ltd.,Bharat Matrimony,Bharat Matrimony,Customer
,Bharat Mumbai Container Terminals Pvt. Ltd.,Bharat Mumbai Container Terminals Pvt. Ltd.,Bharat Container,Bharat Container,Customer
,Bharat Oman Refineries Ltd.,Bharat Oman Refineries Ltd.,BORL,BORL,Customer
,Bharat Petroleum Corporation Ltd.,Bharat Petroleum Corporation Ltd.,BPCL,BPCL,Customer
,Bharat Wire Ropes Ltd.,Bharat Wire Ropes Ltd.,Bharat Wire,Bharat Wire,Customer
,Bhartia Chemicals,Bhartia Chemicals,Bhartia Chemicals,Bhartia Chemicals,Customer
,Bharti Airtel Ltd.,Bharti Airtel Ltd.,Airtel,Bharti Airtel,Customer
,Bharti Hexacom Ltd,Bharti Hexacom Ltd,Bharti Hexacom,Bharti Hexacom Ltd,Customer
,Bharti Infratel Ltd,Bharti Infratel Ltd,Bharti Infratel,Bharti Infratel,Customer
,Bhatia Tools and Technology,Bhatia Tools and Technology,Bhatia Tools,Bhatia Tools,Customer
,Bhavani Industries,Bhavani Industries,Bhavani Industries,Bhavani Industries,Customer
,Bhavya Machine Tools,Bhavya Machine Tools,Bhavya Machine Tools,Bhavya Machine Tools,Customer
